genome_size_id,ott_id,species_name,genome_size_mb,c_value_pg,method,source_column,source,note,used_in_maps,flag_unverified
GS0001,ott444202,Acacia mangium,635.7,0.65,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0002,ott735589,Acromyrmex echinatior,335.0,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0003,ott279981,Actinidia chinensis,604.22,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0004,ott279981,Actinidia chinensis,1408.32,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0005,ott269666,Aedes aegypti,1383.96,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0006,ott269666,Aedes aegypti,942.14,0.963333333333333,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0007,ott793181,Aedes albopictus,2111.34,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0008,ott793181,Aedes albopictus,1090.47,1.115,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0009,ott327444,Aegilops sharonensis,6894.9,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0010,ott881533,Aegilops tauschii,4327.21,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0011,ott881533,Aegilops tauschii,4327.21,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0012,ott790374,Aegilops umbellulata,4938.9,5.05,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
GS0013,ott564405,Agaricus bisporus,30.2337,,assembly_or_direct,Size.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,False,False
GS0014,ott564405,Agaricus bisporus,30.2337,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0015,ott550221,Agrostis capillaris,4000.02,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0016,ott307879,Agrostis stolonifera,3423.0,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0017,ott781600,Allium cepa,16381.5,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0018,ott856720,Allium fistulosum,12254.34,,estimate_unspecified,est.Gsize.Mb,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),Genome size carried in the compilation without a recorded measurement method.,True,False
GS0019,ott317810,Amaranthus hybridus,616.14,0.63,c_value,Cval,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv),,True,False
