map_id,ott_id,species_name,ref_id,map_length_cM,map_sex,map_length_female_cM,map_length_male_cM,n_markers,n_linkage_groups,haploid_chromosome_number,mapping_population_n,genome_size_mb,genome_size_id,genome_size_method,map_length_extrapolated_cM,rate_as_published_cM_per_Mb,qc_few_markers,qc_lg_hcn_mismatch,qc_duplicate_of_other_record,passes_2017_criteria,in_published_353,from_corbett_detig_2015,needs_reference,source_row,source_first_author,source_year
RM0001,ott444202,Acacia mangium,butcher2000,966.0,sex_averaged,834.0,795.0,252.0,13.0,13.0,26.0,635.7,GS0001,c_value,1548.0,,False,False,False,True,True,False,False,1,Butcher,2000
RM0002,ott735589,Acromyrmex echinatior,sirvio2006,2033.8,sex_averaged,,,145.0,22.0,19.0,,335.0,GS0002,estimate_unspecified,2076.0,6.2,False,False,False,True,True,False,False,2,Sirvio,2011
RM0003,ott718262,Acropora millepora,wang2009a,1391.0,sex_averaged,1185.8,945.5,429.0,14.0,14.0,,420.0,GS0618,other_literature,1493.0,,False,False,False,True,True,False,False,3,Wang,2009
RM0004,ott279981,Actinidia chinensis,scaglione2015,3445.0,sex_averaged,3614.0,3276.0,6112.0,29.0,29.0,94.0,1408.32,GS0004,estimate_unspecified,,,False,False,False,True,True,False,False,4,Scaglione,2015
RM0005,ott279954,Actinidia rufa,zhang2015,2651.0,sex_averaged,,,2426.0,29.0,29.0,,,,,,,False,False,False,True,False,False,False,5,Zhang,2015
RM0006,ott814484,Acyrthosiphon pisum,hawthorne2001a,394.0,sex_averaged,,,173.0,4.0,5.0,,165.0,GS0619,other_literature,,4.8,False,False,False,True,True,False,False,6,Hawthorne,2001
RM0007,ott269666,Aedes aegypti,juneja2014,235.0,sex_averaged,,,2000.0,3.0,3.0,99.0,942.14,GS0006,c_value,,0.291,False,False,False,True,True,False,False,7,Juneja,2014
RM0008,ott793181,Aedes albopictus,sutherland2010,212.6,sex_averaged,,,73.0,3.0,3.0,,1090.47,GS0008,c_value,,,False,False,False,True,True,False,False,8,Sutherland,2011
RM0009,ott327444,Aegilops sharonensis,olivera2013,818.0,sex_averaged,,,401.0,10.0,7.0,179.0,6894.9,GS0009,estimate_unspecified,,,False,False,False,True,True,False,False,9,Olivera,2013
RM0010,ott881533,Aegilops tauschii,luo2013,1374.4,sex_averaged,,,7185.0,7.0,7.0,1102.0,4327.21,GS0011,estimate_unspecified,,0.32,False,False,False,True,True,False,False,10,Luo,2013
RM0011,ott790374,Aegilops umbellulata,edae2017,948.72,sex_averaged,,,3009.0,7.0,7.0,140.0,4938.9,GS0012,c_value,,,False,False,False,True,True,False,False,11,Edae,2017
RM0012,ott564405,Agaricus bisporus,foulongneoriol2010,1156.0,sex_averaged,,,231.0,13.0,13.0,,30.2337,GS0014,estimate_unspecified,,,False,False,False,True,True,False,False,12,Foulogne-Oriol,2010
RM0013,ott583561,Agaricus subrufescens,foulongneoriol2016,1701.0,sex_averaged,,,202.0,16.0,,,,,,,,False,False,False,,False,False,False,13,Foulogne-Oriol,2016
RM0014,ott550221,Agrostis capillaris,rotter2009,1156.0,sex_averaged,,,212.0,14.0,14.0,93.0,4000.02,GS0015,estimate_unspecified,,,False,False,False,True,True,False,False,14,Rotter,2009
RM0015,ott307879,Agrostis stolonifera,honig2014,1424.0,sex_averaged,,,385.0,14.0,14.0,95.0,3423.0,GS0016,estimate_unspecified,,,False,False,False,True,True,False,False,15,Honig,2014
RM0016,ott781600,Allium cepa,baldwin2012,808.0,sex_averaged,,,93.0,8.0,9.0,92.0,16381.5,GS0017,estimate_unspecified,,,False,False,False,True,True,False,False,16,Baldwin,2012
RM0017,ott856720,Allium fistulosum,tsukazaki2012,1670.0,sex_averaged,,,268.0,17.0,8.0,119.0,12254.34,GS0018,estimate_unspecified,,,False,True,False,False,False,False,False,17,Tsukazaki,2012
RM0018,ott317810,Amaranthus hybridus,maughan2011,1288.0,sex_averaged,,,411.0,16.0,16.0,134.0,616.14,GS0019,c_value,,,False,False,False,True,True,False,False,18,Maughan,2011
RM0019,ott1092552,Ambystoma tigrinum,smith2005,5251.3,sex_averaged,,,790.0,14.0,14.0,,30875.46,GS0020,estimate_unspecified,,,False,False,False,True,True,False,False,19,Smith,2005
RM0020,ott513777,Amphilophus astorquii,recknagel2013,1427.0,sex_averaged,,,755.0,25.0,24.0,343.0,,,,,,False,False,False,True,False,False,False,20,Recknagel,2013
RM0021,ott1016450,Amylostereum areolatum,vandernest2009,1693.0,sex_averaged,,,204.0,14.0,,80.0,,,,,,False,False,False,,False,False,False,21,vanderNest,2009
RM0022,ott627039,Ananas comosus,desousa2013,2113.0,sex_averaged,,,741.0,28.0,25.0,,537.9,GS0022,c_value,,7.624,False,False,False,True,True,False,False,22,deSousa,2013
RM0023,ott765167,Anas platyrhynchos,huang2009,1766.0,sex_averaged,,,260.0,32.0,40.0,766.0,1375.72,GS0024,c_value,,,False,False,False,True,True,False,False,23,Huang,2009
RM0024,ott854198,Anguilla japonica,kai2014,1436.5,sex_averaged,1527.0,1346.0,2787.0,19.0,19.0,,1151.14,GS0026,estimate_unspecified,,,False,False,False,True,True,False,False,24,Kai,2014
RM0025,ott286257,Anopheles funestus,wondji2007,145.0,sex_averaged,,,56.0,3.0,3.0,349.0,225.224,GS0028,estimate_unspecified,,,False,False,False,True,True,False,False,25,Wondji,2007
RM0026,ott553555,Anopheles gambiae,zheng1996,166.1,sex_averaged,,,38.0,,3.0,,264.06,GS0030,c_value,,0.836531543000713,True,False,False,,False,True,False,26,Corbet-Detig,2015
RM0027,ott441856,Anoplopoma fimbria,rondeau2013,1332.8,sex_averaged,1610.0,860.4,360.0,24.0,24.0,,757.95,GS0032,c_value,,,False,False,False,True,True,False,False,27,Rondeau,2013
RM0028,ott319626,Anthurium andreanum,venkat2014,1023.5,sex_averaged,,,78.0,12.0,15.0,43.0,4694.4,GS0033,c_value,1584.5,,False,False,False,True,True,False,False,28,Venkat,2014
RM0029,ott3999598,Anthurium ornatum,venkat2014,1233.5,sex_averaged,,,85.0,10.0,15.0,43.0,,,,1395.5,,False,False,False,True,False,False,False,29,Venkat,2014
RM0030,ott625771,Apis cerana,shi2013,574.5,sex_averaged,,,1535.0,19.0,16.0,103.0,185.82,GS0035,c_value,,17.4,False,False,False,True,True,False,False,30,Shi,2013
RM0031,ott461645,Apis mellifera,solignac2007,2145.0,sex_averaged,,,1163.0,,16.0,,229.83,GS0037,c_value,,9.88665072477654,False,False,False,,False,True,False,31,Corbet-Detig,2015
RM0032,ott461645,Apis mellifera,solignac2007,4115.0,sex_averaged,,,2008.0,16.0,16.0,,229.83,GS0037,c_value,,16.0,False,False,False,True,True,False,False,32,Wilfert,2007
RM0033,ott721060,Apostichopus japonicus,tian2015,3706.6,sex_averaged,3728.9,1824.3,7839.0,22.0,22.0,,664.37,GS0039,estimate_unspecified,,0.129,False,False,False,True,True,False,False,33,Tian,2015
RM0034,ott152273,Arabidopsis halleri,willems2007,567.0,sex_averaged,,,85.0,8.0,8.0,196.0,234.72,GS0041,estimate_unspecified,,,False,False,False,True,True,False,False,34,Willems,2007
RM0035,ott309263,Arabidopsis thaliana,singer2006,422.5,sex_averaged,,,666.0,5.0,5.0,,123.5,GS0043,c_value,,4.211,False,False,True,True,False,True,False,35,Corbet-Detig,2015
RM0036,ott309263,Arabidopsis thaliana,singer2006,422.5,sex_averaged,,,666.0,5.0,5.0,,123.5,GS0043,c_value,,4.211,False,False,False,True,True,False,False,36,Singer,2015
RM0037,ott607569,Arachis duranensis,nagy2010,1081.3,sex_averaged,,,1724.0,10.0,10.0,,1242.06,GS0045,estimate_unspecified,,,False,False,False,True,True,False,False,37,Nagy,2010
RM0038,ott39541,Arachis hypogaea,zhou2014,1446.7,sex_averaged,,,1685.0,20.0,20.0,166.0,2806.86,GS0046,estimate_unspecified,,,False,False,False,True,True,False,False,38,Zhou,2014
RM0039,ott887220,Argopecten irradians,li2012,849.3,sex_averaged,779.2,781.6,161.0,16.0,16.0,,1173.6,GS0047,c_value,,,False,False,False,True,True,False,False,39,Li,2012
RM0040,ott429101,Aristichthys nobilis,zhu2014,1917.3,sex_averaged,1814.6,1620.0,659.0,24.0,24.0,,865.53,GS0048,c_value,,,False,False,False,True,True,False,False,40,Zhu,2014
RM0041,ott59094,Artemia franciscana,devos2013,1177.0,sex_averaged,1313.0,1041.0,433.0,21.0,21.0,,948.66,GS0049,c_value,,,False,False,False,True,True,False,False,41,DeVos,2013
RM0042,ott5712886,Ascochyta rabiei,phan2003,1271.0,sex_averaged,,,126.0,18.0,14.0,96.0,34.6583,GS0051,estimate_unspecified,,,False,False,False,True,True,False,False,42,Phan,2003
RM0043,ott117339,Aspergillus nidulans,christians2011,3624.7,sex_averaged,,,739.0,8.0,8.0,61.0,30.2427,GS0053,estimate_unspecified,3705.0,,False,False,False,True,True,False,False,43,Christians,2011
