ref_id,doi,doi_url,authors,n_authors,year,title,journal,journal_normalized,journal_abbrev,volume,issue,pages,publisher,issn,publication_type,crossref_citation_count,si_ref_number,si_first_author,si_year,citation_verbatim,match_confidence,match_title_score,match_author_score,manual_review,review_note,flag_year_mismatch,flag_author_list_incomplete,flag_no_doi
butcher2000,10.1007/s001220051521,https://doi.org/10.1007/s001220051521,"Butcher, P. A.; Moran, G. F.",2.0,2000,Genetic linkage mapping in Acacia mangium. 2. Development of an integrated map from two outbred pedigrees using RFLP and microsatellite loci,Theoretical and Applied Genetics,Theoretical and Applied Genetics,Theor Appl Genet,101,4,594-605,Springer Science and Business Media LLC,0040-5752,journal-article,16.0,1.0,Butcher,2000.0,"Butcher, P. A., and G. F. Moran. 2000. Genetic linkage mapping in Acacia mangium. 2. Development of an integrated map from two outbred pedigrees using RFLP and microsatellite loci. Theoretical and Applied Genetics 101:594-",high,100.0,100.0,,,False,False,False
sirvio2006,10.1111/j.1420-9101.2006.01131.x,https://doi.org/10.1111/j.1420-9101.2006.01131.x,"Sirviö, A.; Gadau, J.; Rueppell, O.; Lamatsch, D.; Boomsma, J. J.; Pamilo, P.; Page, R. E.",7.0,2006,High recombination frequency creates genotypic diversity in colonies of the leaf-cutting ant Acromyrmex echinatior,Journal of Evolutionary Biology,Journal of Evolutionary Biology,,19,5,1475-1485,Oxford University Press (OUP),1010-061X,journal-article,39.0,2.0,Sirvio,2011.0,"Sirvio, A., J. Gadau, O. Rueppell, D. Lamatsch, J. J. Boomsma, P. Pamilo, and R. E. Page. 2006. High recombination frequency creates genotypic diversity in colonies of the leaf-cutting ant Acromyrmex echinatior. Journal of",high_manual,100.0,90.9090909090909,accept,"Title, authors and journal match exactly; SI year 2011 is a typo — citation text itself says 2006.",True,False,False
wang2009a,10.1186/gb-2009-10-11-r126,https://doi.org/10.1186/gb-2009-10-11-r126,"Wang, Shi; Zhang, Lingling; Meyer, Eli; Matz, Mikhail V",4.0,2009,Construction of a high-resolution genetic linkage map and comparative genome analysis for the reef-building coral Acropora millepora,Genome Biology,Genome Biology,Genome Biol,10,11,,Springer Science and Business Media LLC,1474-760X,journal-article,54.0,3.0,Wang,2009.0,"Wang, S., L. L. Zhang, E. Meyer, and M. V. Matz. 2009. Construction of a high-resolution genetic linkage map and comparative genome analysis for the reef-building coral Acropora millepora. Genome Biology 10.",high,100.0,100.0,,,False,False,False
scaglione2015,10.1007/s11295-015-0941-3,https://doi.org/10.1007/s11295-015-0941-3,"Scaglione, Davide; Fornasiero, Alice; Pinto, Catalina; Cattonaro, Federica; Spadotto, Alessandro; Infante, Rodrigo; Meneses, Claudio; Messina, Rachele; Lain, Orietta; Cipriani, Guido; Testolin, Raffaele",11.0,2015,A RAD-based linkage map of kiwifruit (Actinidia chinensis Pl.) as a tool to improve the genome assembly and to scan the genomic region of the gender determinant for the marker-assisted breeding,Tree Genetics & Genomes,Tree Genetics & Genomes,Tree Genetics & Genomes,11,6,,Springer Science and Business Media LLC,1614-2942,journal-article,34.0,4.0,Scaglione,2015.0,"Scaglione, D., A. Fornasiero, C. Pinto, F. Cattonaro, A. Spadotto, R. Infante, C. Meneses, R. Messina, O. Lain, G. Cipriani, and R. Testolin. 2015. A RAD-based linkage map of kiwifruit (Actinidia chinensis Pl.) as a tool to improve the genome assembly and to scan the genomic region of the gender determinant for the marker-assisted breeding. Tree Genetics & Genomes 11.",high,100.0,100.0,,,False,False,False
hawthorne2001a,10.1038/35091062,https://doi.org/10.1038/35091062,"Hawthorne, David J.; Via, Sara",2.0,2001,Genetic linkage of ecological specialization and reproductive isolation in pea aphids,Nature,Nature,Nature,412,6850,904-907,Springer Science and Business Media LLC,0028-0836,journal-article,458.0,5.0,Hawthorne,2001.0,"Hawthorne, D. J., and S. Via. 2001. Genetic linkage of ecological specialization and reproductive isolation in pea aphids. Nature 412:904-907.",high,100.0,100.0,,,False,False,False
juneja2014,10.1371/journal.pntd.0002652,https://doi.org/10.1371/journal.pntd.0002652,"Juneja, Punita; Osei-Poku, Jewelna; Ho, Yung S.; Ariani, Cristina V.; Palmer, William J.; Pain, Arnab; Jiggins, Francis M.",7.0,2014,Assembly of the Genome of the Disease Vector Aedes aegypti onto a Genetic Linkage Map Allows Mapping of Genes Affecting Disease Transmission,PLoS Neglected Tropical Diseases,PLoS Neglected Tropical Diseases,PLoS Negl Trop Dis,8,1,e2652,Public Library of Science (PLoS),1935-2735,journal-article,50.0,6.0,Juneja,2014.0,"Juneja, P., J. Osei-Poku, Y. S. Ho, C. V. Ariani, W. J. Palmer, A. Pain, and F. M. Jiggins. 2014. Assembly of the Genome of the Disease Vector Aedes aegypti onto a Genetic Linkage Map Allows Mapping of Genes Affecting",high,100.0,100.0,,,False,False,False
sutherland2010,10.1093/jhered/esq105,https://doi.org/10.1093/jhered/esq105,"Sutherland, I. W.; Mori, A.; Montgomery, J.; Fleming, K. L.; Anderson, J. M.; Valenzuela, J. G.; Severson, D. W.; Black IV, W. C.",8.0,2010,A Linkage Map of the Asian Tiger Mosquito (Aedes albopictus) Based on cDNA Markers,Journal of Heredity,Journal of Heredity,Journal of Heredity,102,1,102-112,Oxford University Press (OUP),0022-1503,journal-article,4.0,7.0,Sutherland,2011.0,"Sutherland, I. W., A. Mori, J. Montgomery, K. L. Fleming, J. M. Anderson, J. G. Valenzuela, D. W. Severson, and W. C. Black. 2011. A Linkage Map of the Asian Tiger Mosquito (Aedes albopictus) Based on cDNA Markers. Journal of",high,100.0,100.0,,,True,False,False
olivera2013,10.1139/gen-2013-0065,https://doi.org/10.1139/gen-2013-0065,"Olivera, P.D.; Kilian, A.; Wenzl, P.; Steffenson, B.J.",4.0,2013,Development of a genetic linkage map for Sharon goatgrass (Aegilops sharonensis) and mapping of a leaf rust resistance gene,Genome,Genome,Genome,56,7,367-376,Canadian Science Publishing,0831-2796,journal-article,13.0,8.0,Olivera,2013.0,"Olivera, P. D., A. Kilian, P. Wenzl, and B. J. Steffenson. 2013. Development of a genetic linkage map for Sharon goatgrass (Aegilops sharonensis) and mapping of a leaf rust resistance gene. Genome 56:367-376.",high,100.0,100.0,,,False,False,False
luo2013,10.1073/pnas.1219082110,https://doi.org/10.1073/pnas.1219082110,"Luo, Ming-Cheng; Gu, Yong Q.; You, Frank M.; Deal, Karin R.; Ma, Yaqin; Hu, Yuqin; Huo, Naxin; Wang, Yi; Wang, Jirui; Chen, Shiyong; Jorgensen, Chad M.; Zhang, Yong; McGuire, Patrick E.; Pasternak, Shiran; Stein, Joshua C.; Ware, Doreen; Kramer, Melissa; McCombie, W. Richard; Kianian, Shahryar F.; Martis, Mihaela M.; Mayer, Klaus F. X.; Sehgal, Sunish K.; Li, Wanlong; Gill, Bikram S.; Bevan, Michael W.; Šimková, Hana; Doležel, Jaroslav; Weining, Song; Lazo, Gerard R.; Anderson, Olin D.; Dvorak, Jan",31.0,2013,"A 4-gigabase physical map unlocks the structure and evolution of the complex genome of Aegilops tauschii, the wheat D-genome progenitor",Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,Proc. Natl. Acad. Sci. U.S.A.,110,19,7940-7945,National Academy of Sciences,0027-8424,journal-article,198.0,9.0,Luo,2013.0,"Luo, M. C., Y. Q. Gu, F. M. You, K. R. Deal, Y. Q. Ma, Y. Q. Hu, N. X. Huo, Y. Wang, J. R. Wang, S. Y. Chen, C. M. Jorgensen, Y. Zhang, P. E. McGuire, S. Pasternak, J. C. Stein, D. Ware, M. Kramer, W. R. McCombie, S. F. Kianian, M. M. Martis, K. F. X. Mayer, S. K. Sehgal, W. L. Li, B. S. Gill, M. W. Bevan, H. Simkova, J. Dolezel, W. N. Song, G. R. Lazo, O. D. Anderson, and J. Dvorak. 2013. A 4-gigabase physical map unlocks the structure and evolution of the complex genome of Aegilops tauschii, the wheat D-genome progenitor.",high,100.0,100.0,,,False,False,False
edae2017,10.1534/g3.117.039966,https://doi.org/10.1534/g3.117.039966,"Edae, Erena A; Olivera, Pablo D; Jin, Yue; Rouse, Matthew N",4.0,2017,"Genotyping-by-Sequencing Facilitates a High-Density Consensus Linkage Map forAegilops umbellulata, a Wild Relative of Cultivated Wheat",G3 Genes|Genomes|Genetics,G3: Genes|Genomes|Genetics,,7,5,1551-1561,Oxford University Press (OUP),2160-1836,journal-article,25.0,10.0,Edae,2017.0,"Edae, E. A., P. D. Olivera, Y. Jin, and M. N. Rouse. 2017. Genotyping-by-Sequencing Facilitates a High-Density Consensus Linkage Map for <em>Aegilops umbellulata</em>, a Wild Relative of Cultivated Wheat. G3:",high,99.24812030075188,100.0,,,False,False,False
