ott_id,species_name,ott_accepted_name,ott_unique_name,taxon_rank,kingdom,phylum,class,order,family,genus,major_clades,full_lineage,ncbi_taxid,gbif_id,irmng_id,ncbi_name,ncbi_family,ncbi_order,ncbi_class,ncbi_confirms_family,chromosome_number_1n,chromosome_number_2n,flag_chromosome_conflict,n_map_records,source_species_string,source_ott_id,source_supergroup,source_group,source_class,source_order,source_family,ott_match_score,flag_ott_id_changed,ott_change_type,ott_change_note,flag_name_is_synonym,flag_fuzzy_match,flag_not_species_rank,flag_unresolved,flag_source_family_differs,source_family_issue,flag_duplicate_taxon,duplicate_taxon_note,eukaryote_supergroup
ott444202,Acacia mangium,Acacia mangium,Acacia mangium,species,Chloroplastida,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,mimosoid clade; fabids; rosids; Pentapetalae; Gunneridae; eudicotyledons,Acacia; Acacieae; mimosoid clade; Caesalpinioideae; Fabaceae; Fabales; fabids; rosids; Pentapetalae; Gunneridae; eudicotyledons; Mesangiospermae; Magnoliopsida; Spermatophyta; Euphyllophyta; Tracheophyta; Embryophyta; Streptophyta; Chloroplastida; Archaeplastida; Eukaryota; cellular organisms; life,224085,2979091,10454213,Acacia mangium,Fabaceae,Fabales,Magnoliopsida,True,13,26,False,1,Acacia_mangium,444202,Archaeplastida,Plants,Eudicots,Fabales,Fabaceae,1.0,False,,,False,False,False,False,False,,False,,Chloroplastida
ott735589,Acromyrmex echinatior,Acromyrmex echinatior,Acromyrmex echinatior,species,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Acromyrmex,Dicondylia; Pancrustacea; Mandibulata; Panarthropoda; Ecdysozoa; Protostomia,Acromyrmex; Attini; Myrmicinae; Formicidae; Formicoidea; Aculeata; Apocrita; Hymenoptera; Holometabola; Neoptera; Pterygota; Dicondylia; Insecta; Hexapoda; Pancrustacea; Mandibulata; Arthropoda; Panarthropoda; Ecdysozoa; Protostomia; Bilateria; Eumetazoa; Metazoa; Holozoa; Opisthokonta; Eukaryota; cellular organisms; life,103372,10382684,,Acromyrmex echinatior,Formicidae,Hymenoptera,Insecta,True,19,38,False,1,Acromyrmex_echinatior,735589,Opisthokonta ,Animals,Insecta,Hymenoptera,Formicidae,1.0,False,,,False,False,False,False,False,,False,,Metazoa
ott718262,Acropora millepora,Acropora millepora,Acropora millepora (species in domain Eukaryota),species,Metazoa,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Eumetazoa; Holozoa; Opisthokonta; cellular organisms; life,Acropora; Acroporidae; Scleractinia; Hexacorallia; Anthozoa; Cnidaria; Eumetazoa; Metazoa; Holozoa; Opisthokonta; Eukaryota; cellular organisms; life,45264,5184672,11130315,Acropora millepora,Acroporidae,Scleractinia,Anthozoa,True,14,28,False,1,Acropora_millepora,718262,Opisthokonta ,Animals,Anthozoa,Scleractinia,Acroporidae,1.0,False,,,False,False,False,False,False,,False,,Metazoa
ott279981,Actinidia chinensis,Actinidia chinensis,Actinidia chinensis,species,Chloroplastida,Tracheophyta,Magnoliopsida,Ericales,Actinidiaceae,Actinidia,asterids; Pentapetalae; Gunneridae; eudicotyledons; Mesangiospermae; Spermatophyta,Actinidia; Actinidiaceae; Ericales; asterids; Pentapetalae; Gunneridae; eudicotyledons; Mesangiospermae; Magnoliopsida; Spermatophyta; Euphyllophyta; Tracheophyta; Embryophyta; Streptophyta; Chloroplastida; Archaeplastida; Eukaryota; cellular organisms; life,3625,3189694,10207744,Actinidia chinensis,Actinidiaceae,Ericales,Magnoliopsida,True,29,58,False,1,Actinidia_chinensis,279981,Archaeplastida,Plants,Eudicots,Ericales,Actinidiaceae,1.0,False,,,False,False,False,False,False,,False,,Chloroplastida
ott279954,Actinidia rufa,Actinidia rufa,Actinidia rufa,species,Chloroplastida,Tracheophyta,Magnoliopsida,Ericales,Actinidiaceae,Actinidia,asterids; Pentapetalae; Gunneridae; eudicotyledons; Mesangiospermae; Spermatophyta,Actinidia; Actinidiaceae; Ericales; asterids; Pentapetalae; Gunneridae; eudicotyledons; Mesangiospermae; Magnoliopsida; Spermatophyta; Euphyllophyta; Tracheophyta; Embryophyta; Streptophyta; Chloroplastida; Archaeplastida; Eukaryota; cellular organisms; life,165716,7696280,,Actinidia rufa,Actinidiaceae,Ericales,Magnoliopsida,True,29,58,False,1,Actinidia_rufa,279954,Archaeplastida,Plants,Eudicots,Ericales,Actinidiaceae,1.0,False,,,False,False,False,False,False,,False,,Chloroplastida
ott814484,Acyrthosiphon pisum,Acyrthosiphon pisum,Acyrthosiphon pisum,species,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon,Dicondylia; Pancrustacea; Mandibulata; Panarthropoda; Ecdysozoa; Protostomia,Acyrthosiphon; Macrosiphini; Aphidinae; Aphididae; Aphidoidea; Aphidomorpha; Sternorrhyncha; Hemiptera; Paraneoptera; Neoptera; Pterygota; Dicondylia; Insecta; Hexapoda; Pancrustacea; Mandibulata; Arthropoda; Panarthropoda; Ecdysozoa; Protostomia; Bilateria; Eumetazoa; Metazoa; Holozoa; Opisthokonta; Eukaryota; cellular organisms; life,7029,2077503,11057434,Acyrthosiphon pisum,Aphididae,Hemiptera,Insecta,True,5,10,False,1,Acyrthosiphon_pisum,814484,Opisthokonta ,Animals,Insecta,Hemiptera,Aphididae,1.0,False,,,False,False,False,False,False,,False,,Metazoa
ott269666,Aedes aegypti,Aedes aegypti,Aedes aegypti,species,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Dicondylia; Pancrustacea; Mandibulata; Panarthropoda; Ecdysozoa; Protostomia,Stegomyia; Aedes; Aedini; Culicinae; Culicidae; Culicoidea; Culicomorpha; Nematocera; Diptera; Holometabola; Neoptera; Pterygota; Dicondylia; Insecta; Hexapoda; Pancrustacea; Mandibulata; Arthropoda; Panarthropoda; Ecdysozoa; Protostomia; Bilateria; Eumetazoa; Metazoa; Holozoa; Opisthokonta; Eukaryota; cellular organisms; life,7159,1651891,10192831,Aedes aegypti,Culicidae,Diptera,Insecta,True,3,6,False,1,Aedes_aegypti,269666,Opisthokonta ,Animals,Insecta,Diptera,Culicidae,1.0,False,,,False,False,False,False,False,,False,,Metazoa
ott793181,Aedes albopictus,Aedes albopictus,Aedes albopictus,species,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Dicondylia; Pancrustacea; Mandibulata; Panarthropoda; Ecdysozoa; Protostomia,Stegomyia; Aedes; Aedini; Culicinae; Culicidae; Culicoidea; Culicomorpha; Nematocera; Diptera; Holometabola; Neoptera; Pterygota; Dicondylia; Insecta; Hexapoda; Pancrustacea; Mandibulata; Arthropoda; Panarthropoda; Ecdysozoa; Protostomia; Bilateria; Eumetazoa; Metazoa; Holozoa; Opisthokonta; Eukaryota; cellular organisms; life,7160,1651430,11147109,Aedes albopictus,Culicidae,Diptera,Insecta,True,3,6,False,1,Aedes_albopictus,793181,Opisthokonta ,Animals,Insecta,Diptera,Culicidae,1.0,False,,,False,False,False,False,False,,False,,Metazoa
ott327444,Aegilops sharonensis,Aegilops sharonensis,Aegilops sharonensis,species,Chloroplastida,Tracheophyta,Liliopsida,Poales,Poaceae,Aegilops,Triticodae; BOP clade; commelinids; Mesangiospermae; Spermatophyta; Euphyllophyta,Aegilops; Triticinae; Triticeae; Triticodae; Pooideae; BOP clade; Poaceae; Poales; commelinids; Petrosaviidae; Liliopsida; Mesangiospermae; Magnoliopsida; Spermatophyta; Euphyllophyta; Tracheophyta; Embryophyta; Streptophyta; Chloroplastida; Archaeplastida; Eukaryota; cellular organisms; life,58530,5677805,,Aegilops sharonensis,Poaceae,Poales,Magnoliopsida,True,7,14,False,1,Aegilops_sharonensis,327444,Archaeplastida,Plants,Monocots,Poales,Poaceae,1.0,False,,,False,False,False,False,False,,False,,Chloroplastida
ott881533,Aegilops tauschii,Aegilops tauschii,Aegilops tauschii,species,Chloroplastida,Tracheophyta,Liliopsida,Poales,Poaceae,Aegilops,Triticodae; BOP clade; commelinids; Mesangiospermae; Spermatophyta; Euphyllophyta,Aegilops; Triticinae; Triticeae; Triticodae; Pooideae; BOP clade; Poaceae; Poales; commelinids; Petrosaviidae; Liliopsida; Mesangiospermae; Magnoliopsida; Spermatophyta; Euphyllophyta; Tracheophyta; Embryophyta; Streptophyta; Chloroplastida; Archaeplastida; Eukaryota; cellular organisms; life,37682,5289779,10654627,Aegilops tauschii,Poaceae,Poales,Magnoliopsida,True,7,14,False,1,Aegilops_tauschii,5148305,Archaeplastida,Plants,Monocots,Poales,Poaceae,1.0,True,stored_was_hybrid,"Stored id pointed to the hybrid 'Aegilops tauschii x Secale cereale', not the species.",False,False,False,False,False,,False,,Chloroplastida
ott790374,Aegilops umbellulata,Aegilops umbellulata,Aegilops umbellulata,species,Chloroplastida,Tracheophyta,Liliopsida,Poales,Poaceae,Aegilops,Triticodae; BOP clade; commelinids; Mesangiospermae; Spermatophyta; Euphyllophyta,Aegilops; Triticinae; Triticeae; Triticodae; Pooideae; BOP clade; Poaceae; Poales; commelinids; Petrosaviidae; Liliopsida; Mesangiospermae; Magnoliopsida; Spermatophyta; Euphyllophyta; Tracheophyta; Embryophyta; Streptophyta; Chloroplastida; Archaeplastida; Eukaryota; cellular organisms; life,4491,5289786,10854113,Aegilops umbellulata,Poaceae,Poales,Magnoliopsida,True,7,14,False,1,Aegilops_umbellulata,790374,Archaeplastida,Plants,Monocots,Poales,Poaceae,1.0,False,,,False,False,False,False,False,,False,,Chloroplastida
ott564405,Agaricus bisporus,Agaricus bisporus,Agaricus bisporus,species,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,h2007-1; h2007-2; Nucletmycea; Opisthokonta; cellular organisms; life,Agaricus; Agaricaceae; Agaricales; Agaricomycetes; Agaricomycotina; Basidiomycota; Dikarya; h2007-1; h2007-2; Fungi; Nucletmycea; Opisthokonta; Eukaryota; cellular organisms; life,192523,5243447,11209605,Agaricus bisporus var. bisporus,Agaricaceae,Agaricales,Agaricomycetes,True,13,26,False,1,Agaricus_bisporus,564405,Opisthokonta ,Fungi,Agaricomycetes,Agaricales,Agaricaceae,1.0,False,,,False,False,False,False,False,,False,,Fungi
ott583561,Agaricus subrufescens,Agaricus subrufescens,Agaricus subrufescens,species,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,h2007-1; h2007-2; Nucletmycea; Opisthokonta; cellular organisms; life,Agaricus; Agaricaceae; Agaricales; Agaricomycetes; Agaricomycotina; Basidiomycota; Dikarya; h2007-1; h2007-2; Fungi; Nucletmycea; Opisthokonta; Eukaryota; cellular organisms; life,307930,5243460,10779498,Agaricus rufotegulis,Agaricaceae,Agaricales,Agaricomycetes,True,,,False,1,Agaricus_subrufescens,583561,Opisthokonta ,Fungi,Agaricomycetes,Agaricales,Agaricaceae,1.0,False,,,False,False,False,False,False,,False,,Fungi
ott550221,Agrostis capillaris,Agrostis capillaris,Agrostis capillaris,species,Chloroplastida,Tracheophyta,Liliopsida,Poales,Poaceae,Agrostis,Poeae Chloroplast Group 1 (Aveneae type); Poodae; BOP clade; commelinids; Mesangiospermae; Spermatophyta,Agrostis; Agrostidinae; Poeae Chloroplast Group 1 (Aveneae type); Poeae; Poodae; Pooideae; BOP clade; Poaceae; Poales; commelinids; Petrosaviidae; Liliopsida; Mesangiospermae; Magnoliopsida; Spermatophyta; Euphyllophyta; Tracheophyta; Embryophyta; Streptophyta; Chloroplastida; Archaeplastida; Eukaryota; cellular organisms; life,204232,2706490,10696034,Agrostis capillaris,Poaceae,Poales,Magnoliopsida,True,14,28,False,1,Agrostis_capillaris,550221,Archaeplastida,Plants,Monocots,Poales,Poaceae,1.0,False,,,False,False,False,False,False,,False,,Chloroplastida
