ott_id,species_name,trait,value,value_type,source
ott444202,Acacia mangium,habitat,terrestrial,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott444202,Acacia mangium,heterochiasmy,H,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott444202,Acacia mangium,parasitic_or_pathogenic,false,boolean,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott444202,Acacia mangium,sexual_system,hermaphrodite,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott735589,Acromyrmex echinatior,habitat,terrestrial,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott735589,Acromyrmex echinatior,haplodiploid,true,boolean,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott735589,Acromyrmex echinatior,invasive,false,boolean,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott735589,Acromyrmex echinatior,parasitic_or_pathogenic,false,boolean,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott735589,Acromyrmex echinatior,sexual_system,male.haploid,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott718262,Acropora millepora,habitat,aquatic,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott718262,Acropora millepora,haplodiploid,false,boolean,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott718262,Acropora millepora,heterochiasmy,H,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott718262,Acropora millepora,invasive,false,boolean,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott718262,Acropora millepora,parasitic_or_pathogenic,false,boolean,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott718262,Acropora millepora,sexual_system,hermaphrodite,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott279981,Actinidia chinensis,genus_n_dioecious_species,8.0,numeric,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott279981,Actinidia chinensis,genus_n_species,30.0,numeric,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott279981,Actinidia chinensis,habitat,terrestrial,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott279981,Actinidia chinensis,haplodiploid,false,boolean,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott279981,Actinidia chinensis,heterochiasmy,H,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott279981,Actinidia chinensis,leaf_compoundness,simple,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott279981,Actinidia chinensis,leaf_phenology,deciduous,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott279981,Actinidia chinensis,leaf_type,broadleaved,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott279981,Actinidia chinensis,parasitic_or_pathogenic,false,boolean,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott279981,Actinidia chinensis,photosynthetic_pathway,C3,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott279981,Actinidia chinensis,plant_growth_form,shrub,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott279981,Actinidia chinensis,pollination_mode,insects,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott279981,Actinidia chinensis,sex_determination_karyotype,H,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott279981,Actinidia chinensis,sexual_system,dioecy,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott279981,Actinidia chinensis,woodiness,woody,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott279954,Actinidia rufa,genus_n_dioecious_species,8.0,numeric,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott279954,Actinidia rufa,genus_n_species,30.0,numeric,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
ott279954,Actinidia rufa,habitat,terrestrial,categorical,Stapley et al. 2017 compilation (LinkageMapIinfo2.csv)
