current_column,n_nonmissing,pct_complete,n_distinct,disposition,proposed_table,proposed_field,unit,type,notes
no,486,100.0,486,drop,-,-,,,Row counter; replace with a stable map_id (e.g. RM0001) that never changes between releases.
Ref,486,100.0,338,move,references,first_author,,string,First author surname only. Needs a DOI to become a real key.
year,486,100.0,20,move,references,year,,integer,
corbett,486,100.0,2,rename,maps,source_compilation,,enum,Flags records inherited from an earlier compilation; generalise to a provenance field naming the compilation.
species,486,100.0,457,rename,species,species_name,,string,"Underscores to spaces; becomes the human-readable label, not the join key."
uid,486,100.0,457,merge,species,ott_id,,integer,Duplicate of ott.uid without the 'ott' prefix. Keep one.
pid,486,100.0,340,merge,species,ott_parent_id,,integer,Duplicate of ott.pid.
check,486,100.0,2,drop,-,-,,,Internal QC flag from the original workflow; superseded by automated validation.
phyl.info,486,100.0,456,drop,-,-,,,Name used for phylogeny tip matching; regenerate from ott_id at build time.
ott.uid,486,100.0,457,keep,species,ott_id,,string,Open Tree taxon id; the recommended primary taxon key.
ott.pid,486,100.0,340,keep,species,ott_parent_id,,string,
Habitat,486,100.0,6,move,species_traits,habitat,,enum,Controlled vocabulary needed: current values mix habitat (Terrestrial/Aquatic/Soil) with kingdom (Plants/Animals).
par.path,486,100.0,2,move,species_traits,parasitic_or_pathogenic,,boolean,
invasive,486,100.0,2,move,species_traits,invasive,,boolean,
Kingdom,486,100.0,1,keep,species,kingdom,,string,Resolve from OTT/NCBI at build time rather than storing by hand.
Tax.grp,486,100.0,4,keep,species,supergroup,,string,
Group,486,100.0,4,keep,species,group,,string,
newGroup,486,100.0,8,move,groupings,group_v2,,string,Analysis-specific grouping from the 2017 paper; keep out of the core table.
SubGroup,486,100.0,27,move,groupings,subgroup,,string,
newSubGroup,486,100.0,20,move,groupings,subgroup_v2,,string,
newSubGroup2,486,100.0,19,move,groupings,subgroup_v3,,string,
newSubGroupClade,486,100.0,26,move,groupings,subgroup_clade,,string,
newSubGrp2,486,100.0,17,move,groupings,subgroup_v4,,string,
Class,486,100.0,39,keep,species,class,,string,Derive from taxonomy service.
Order,486,100.0,108,keep,species,order,,string,Derive from taxonomy service.
newOrder,486,100.0,67,move,groupings,order_v2,,string,
Family,486,100.0,198,keep,species,family,,string,Derive from taxonomy service.
newFamily,486,100.0,96,move,groupings,family_v2,,string,
het.a.chiasmy,80,16.5,2,rename,maps,heterochiasmy,,enum,Define levels explicitly (H = heterochiasmy present?).
F.map.length,70,14.4,68,rename,maps,map_length_female_cM,cM,numeric,
M.map.length,70,14.4,69,rename,maps,map_length_male_cM,cM,numeric,
F.M.ratio,73,15.0,72,derive,-,-,,numeric,Recompute as map_length_female_cM / map_length_male_cM.
Sexual.sys,294,60.5,9,move,species_traits,sexual_system,,enum,9 levels present; needs a documented vocabulary.
Karyotype,140,28.8,5,move,species_traits,sex_determination_karyotype,,enum,
Genotypic,78,16.0,3,move,species_traits,sex_determination_genotypic,,enum,
