map_id,species_name,si_author,si_year,map_length_cM,n_markers,reason,best_guess_doi,best_guess_title,search_hint
RM0106,Citrus unshiu,Shimada,2014,990.9,706.0,A same-species entry exists in Title_LinkageMap.csv but author or year disagrees — check whether the list entry is the same study.,10.1016/j.plantsci.2014.09.008,Characterization of three linalool synthase genes from Citrus unshiu Marc. and analysis of linalool-mediated resistance against Xanthomonas citri subsp. citri and Penicilium italicum in citrus leaves and fruits,Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0108,Cochliobus sativus,Zhong,2002,849.4,158.0,"Not found in Title_LinkageMap.csv, the Corbett-Detig supplement, or Crossref by species + author + year.",10.5010/jpb.2002.29.3.151,Construction of a Genetic Linkage Map in Radish(Raphanus sativus L.) Using RAPD Markers,Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0164,Eragrostis tef,Zeid,2011,1277.4,,"Not found in Title_LinkageMap.csv, the Corbett-Detig supplement, or Crossref by species + author + year.",10.1016/j.fcr.2011.10.013,Genetic diversity in tef (Eragrostis tef) germplasm using SSR markers,Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0170,Eucalyptus globulus,Gion,2016,1520.0,,"Not found in Title_LinkageMap.csv, the Corbett-Detig supplement, or Crossref by species + author + year.",,,Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0223,Hypsizygus marmoreus,Sun,2016,86.2,14.0,"Not found in Title_LinkageMap.csv, the Corbett-Detig supplement, or Crossref by species + author + year.",10.3390/biom10020298,Cyclic Dipeptides Mediating Quorum Sensing and Their Biological Effects in Hypsizygus Marmoreus,Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0238,Lateolabrax japonicus,Liu,2016,2957.79,3000.0,"Not found in Title_LinkageMap.csv, the Corbett-Detig supplement, or Crossref by species + author + year.",10.1079/cabicompendium.77957,Lateolabrax japonicus (japanese seaperch),Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0246,Leptopilina clavipes,Pannebakker,2004,219.9,32.0,"Not found in Title_LinkageMap.csv, the Corbett-Detig supplement, or Crossref by species + author + year.",10.1139/g03-137,Cytology ofWolbachia-induced parthenogenesis inLeptopilina clavipes(Hymenoptera: Figitidae),Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0247,Lilium,Shahin,2011,1627.0,411.0,"Not found in Title_LinkageMap.csv, the Corbett-Detig supplement, or Crossref by species + author + year.",10.18174/212113,Development of genomic resources for ornamental lilies (Lilium L.),Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0290,Nasonia vitripennis,Beukeboom,2010,515.0,36.0,"Not found in Title_LinkageMap.csv, the Corbett-Detig supplement, or Crossref by species + author + year.",10.1534/genetics.105.044743,No Patrigenes Required for Femaleness in the Haplodiploid Wasp Nasonia vitripennis,Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0333,Philomachus pugnax,Farrell,2013,641.6,58.0,"Not found in Title_LinkageMap.csv, the Corbett-Detig supplement, or Crossref by species + author + year.",10.1007/s12686-012-9639-0,"Isolation, characterization and predicted genome locations of ruff (Philomachus pugnax, AVES) microsatellite loci",Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0337,Phytophthora capsici,Lamour,2012,1654.0,1136.0,A same-species entry exists in Title_LinkageMap.csv but author or year disagrees — check whether the list entry is the same study.,10.1111/j.1364-3703.2011.00754.x,The oomycete broad‐host‐range pathogen Phytophthora capsici,Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
