doi,map_id,species_name,si_author,si_year,map_length_cM,n_markers,reason,best_guess_doi,best_guess_title,search_hint
10.1093/dnares/dsv019,RM0005,Actinidia rufa,Zhang,2015,2651,2426,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1079/cabicompendium.66228390,Actinidia rufa,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
10.1534/g3.112.003897/-/DC1,RM0020,Amphilophus astorquii,Recknagel,2013,1427,755,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",,,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0026,Anopheles gambiae,Corbet-Detig,2015,166.1,38,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1101/096289,Natural diversity of the malaria vector Anopheles gambiae,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
10.1016/j.scienta.2014.08.017,RM0029,Anthurium ornatum,Venkat,2014,1233.5,85,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1016/j.scienta.2014.08.017,"The genetic linkage maps of Anthurium species based on RAPD, ISSR and SRAP markers","Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0046,Athalia rosae,Nichimori,2000,517.2,61,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",,,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0064,Brachypodium distachyon,Corbet-Detig,2015,1598,556,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1079/cabicompendium.112778,Brachypodium distachyon (purple false brome),"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0072,Caenorhabditis briggsae,Corbet-Detig,2015,484.4527,,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1895/wormbook.1.128.1,Caenorhabditis briggsae methods,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0073,Caenorhabditis elegans,Corbet-Detig,2015,233.287,5220,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",,,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0082,Capsella rubella,Corbet-Detig,2015,381.82633647,877,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1079/cabicompendium.112944,Capsella rubella,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0096,Chlamys noblis,Yuan,2010,1608.8,117,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.2983/035.029.0126,Genetic Linkage Maps of the Noble ScallopChlamys nobilisReeve Based on Aflp and Microsatellite Markers,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
