map_id,species_name,doi,title,year,journal,source,note
RM0020,Amphilophus astorquii,10.1534/g3.112.003897,A Hybrid Genetic Linkage Map of Two Ecologically and Morphologically Divergent Midas Cichlid Fishes (Amphilophusspp.) Obtained by Massively Parallel DNA Sequencing (ddRADSeq),2013.0,G3 Genes|Genomes|Genetics,Title_LinkageMap.csv,Matched to the curator-supplied title list on first author and year with the species in the citation; the citation title was then resolved to a DOI via Crossref.
RM0029,Anthurium ornatum,10.1016/j.scienta.2014.08.017,"The genetic linkage maps of Anthurium species based on RAPD, ISSR and SRAP markers",2014.0,Scientia Horticulturae,Title_LinkageMap.csv,Matched to the curator-supplied title list on first author and year with the species in the citation; the citation title was then resolved to a DOI via Crossref.
RM0096,Chlamys noblis,10.2983/035.029.0126,Genetic Linkage Maps of the Noble ScallopChlamys nobilisReeve Based on Aflp and Microsatellite Markers,2010.0,Journal of Shellfish Research,Title_LinkageMap.csv,Matched to the curator-supplied title list on first author and year with the species in the citation; the citation title was then resolved to a DOI via Crossref.
RM0146,Dendrobium officinale,10.4238/2012.december.21.1,Genetic linkage map of EST-SSR and SRAP markers in the endangered Chinese endemic herb Dendrobium (Orchidaceae),2012.0,Genetics and Molecular Research,Title_LinkageMap.csv,Matched to the curator-supplied title list on first author and year with the species in the citation; the citation title was then resolved to a DOI via Crossref.
RM0161,Epinephelus coioides,10.1186/1471-2156-14-113,Construction of high-density genetic linkage maps for orange-spotted grouper Epinephelus coioidesusing multiplexed shotgun genotyping,2013.0,BMC Genetics,Title_LinkageMap.csv,Matched to the curator-supplied title list on first author and year with the species in the citation; the citation title was then resolved to a DOI via Crossref.
RM0197,Gnathopogon caerulescens,10.1186/1471-2164-14-32,"A RAD-based linkage map and comparative genomics in the gudgeons (genus Gnathopogon, Cyprinidae)",2013.0,BMC Genomics,Title_LinkageMap.csv,Matched to the curator-supplied title list on first author and year with the species in the citation; the citation title was then resolved to a DOI via Crossref.
RM0235,Lagerstroemia,10.1111/pbr.12100,The first genetic linkage map of crape myrtle (Lagerstroemia) based on amplification fragment length polymorphisms and simple sequence repeats markers,2013.0,Plant Breeding,Title_LinkageMap.csv,Matched to the curator-supplied title list on first author and year with the species in the citation; the citation title was then resolved to a DOI via Crossref.
RM0357,Plasmodium yoelii,10.1073/pnas.1102261108,Linkage maps from multiple genetic crosses and loci linked to growth-related virulent phenotype in Plasmodium yoelii,2011.0,Proceedings of the National Academy of Sciences,Title_LinkageMap.csv,Matched to the curator-supplied title list on first author and year with the species in the citation; the citation title was then resolved to a DOI via Crossref.
RM0358,Pleurotus eryngii,10.1016/j.fgb.2016.05.002,Construction of a genetic linkage map and analysis of quantitative trait loci associated with the agronomically important traits of Pleurotus eryngii,2016.0,Fungal Genetics and Biology,Title_LinkageMap.csv,Matched to the curator-supplied title list on first author and year with the species in the citation; the citation title was then resolved to a DOI via Crossref.
RM0412,Sebastes schlegelii,10.1007/s11802-014-2301-6,A microsatellite genetic linkage map of black rockfish (Sebastes schlegeli),2014.0,Journal of Ocean University of China,Title_LinkageMap.csv,Matched to the curator-supplied title list on first author and year with the species in the citation; the citation title was then resolved to a DOI via Crossref.
RM0443,Taxodium mucronatum,10.1186/s40064-016-2617-3,"Genetic linkage map construction and QTL mapping of seedling height, basal diameter and crown width of Taxodium ‘Zhongshanshan 302’ × T. mucronatum",2016.0,SpringerPlus,Title_LinkageMap.csv,Matched to the curator-supplied title list on first author and year with the species in the citation; the citation title was then resolved to a DOI via Crossref.
RM0482,Zea nicaraguensis,10.1007/s11032-010-9532-z,"Construction of intraspecific linkage maps, detection of a chromosome inversion, and mapping of QTL for constitutive root aerenchyma formation in the teosinte Zea nicaraguensis",2010.0,Molecular Breeding,Title_LinkageMap.csv,Matched to the curator-supplied title list on first author and year with the species in the citation; the citation title was then resolved to a DOI via Crossref.
RM0026,Anopheles gambiae,10.1093/genetics/143.2.941,"An Integrated Genetic Map of the African Human Malaria Vector Mosquito, Anopheles gambiae",1996.0,Genetics,Corbett-Detig et al. 2015 S1_Table References sheet,"Map reference 40 in the Corbett-Detig supplementary reference list, resolved to a DOI via Crossref."
RM0064,Brachypodium distachyon,10.1007/s00122-011-1598-4,Comparison of a high-density genetic linkage map to genome features in the model grass Brachypodium distachyon,2011.0,Theoretical and Applied Genetics,Corbett-Detig et al. 2015 S1_Table References sheet,"Supplement S1_Table lists map reference 45 for Brachypodium distachyon, but entry 45 is a BOVINE linkage map (Arias et al. 2009). Entry 43 (Huo et al. 2011) is the Brachypodium map. Corrected here."
RM0072,Caenorhabditis briggsae,10.1371/journal.pgen.1002174,Caenorhabditis briggsae Recombinant Inbred Line Genotypes Reveal Inter-Strain Incompatibility and the Evolution of Recombination,2011.0,PLoS Genetics,Corbett-Detig et al. 2015 S1_Table References sheet,"Map reference 46 in the Corbett-Detig supplementary reference list, resolved to a DOI via Crossref."
RM0073,Caenorhabditis elegans,10.1093/nar/gkr954,"WormBase 2012: more genomes, more data, new website",2011.0,Nucleic Acids Research,Corbett-Detig et al. 2015 S1_Table References sheet,"Map reference 47 in the Corbett-Detig supplementary reference list, resolved to a DOI via Crossref."
RM0150,Drosophila melanogaster,10.1371/journal.pgen.1002905,The Many Landscapes of Recombination in Drosophila melanogaster,2012.0,PLoS Genetics,Corbett-Detig et al. 2015 S1_Table References sheet,"Map reference 55 in the Corbett-Detig supplementary reference list, resolved to a DOI via Crossref."
RM0151,Drosophila pseudoobscura,10.1038/npre.2012.7005,Recombination modulates how selection affects linked sites in Drosophila,2012.0,Nature Precedings,Corbett-Detig et al. 2015 S1_Table References sheet,"Map reference 56 in the Corbett-Detig supplementary reference list, resolved to a DOI via Crossref."
RM0218,Homo sapiens,10.1038/nature09525,"Fine-scale recombination rate differences between sexes, populations and individuals",2010.0,Nature,Corbett-Detig et al. 2015 S1_Table References sheet,"Map reference 62 in the Corbett-Detig supplementary reference list, resolved to a DOI via Crossref."
RM0243,Lepisosteus oculatus,10.1534/genetics.111.127324,"Genome Evolution and Meiotic Maps by Massively Parallel DNA Sequencing: Spotted Gar, an Outgroup for the Teleost Genome Duplication",2011.0,Genetics,Corbett-Detig et al. 2015 S1_Table References sheet,"Map reference 63 in the Corbett-Detig supplementary reference list, resolved to a DOI via Crossref."
RM0282,Mus musculus,10.1534/genetics.109.105486,A New Standard Genetic Map for the Laboratory Mouse,2009.0,Genetics,Corbett-Detig et al. 2015 S1_Table References sheet,"Map reference 68 in the Corbett-Detig supplementary reference list, resolved to a DOI via Crossref."
RM0309,Oryzias latipes,10.1016/j.gene.2005.07.043,Genetic linkage map of medaka with polymerase chain reaction length polymorphisms,2005.0,Gene,Corbett-Detig et al. 2015 S1_Table References sheet,"Map reference 70 in the Corbett-Detig supplementary reference list, resolved to a DOI via Crossref."
RM0005,Actinidia rufa,10.1093/dnares/dsv019,High-density interspecific genetic maps of kiwifruit and the identification of sex-specific markers,2015.0,DNA Research,Supplied by J. Stapley,"DOI supplied by the compiler; verified against Crossref (authors, title and year match the record)."
RM0046,Athalia rosae,10.1266/ggs.75.159,A linkage map of the turnip sawfly Athalia rosae (Hymenoptera: Symphyta) based on random amplified polymorphic DNAs.,2000.0,Genes & Genetic Systems,PDF in Endnote_libraries/pdf + Title_LinkageMap.csv,"Supplied PDF (Nishimori et al. 2000, Genes & Genetic Systems) identifies the paper; the working file records the author as ""Nichimori"", a misspelling of Nishimori. Corroborated by the curator title list."
RM0242,Lentinula edodes,10.1016/j.funbio.2014.01.001,Constructing a new integrated genetic linkage map and mapping quantitative trait loci for vegetative mycelium growth rate in Lentinula edodes,2014.0,Fungal Biology,Title_LinkageMap.csv,Matched on species and first author in the curator title list; list year 2014 vs 2016 in the working file.
RM0082,Capsella rubella,10.1111/j.1558-5646.2011.01540.x,GENETIC ARCHITECTURE AND ADAPTIVE SIGNIFICANCE OF THE SELFING SYNDROME INCAPSELLA,2012.0,,Corbett-Detig et al. 2015 S1_Table References sheet,"Map reference 49; listed in the supplement as ""C. rubella X C. grandiflora""."
RM0318,Papio anubis,10.1006/geno.2000.6245,A Genetic Linkage Map of the Baboon (Papio hamadryas) Genome Based on Human Microsatellite Polymorphisms,2000.0,,Corbett-Detig et al. 2015 S1_Table References sheet,"Map reference 73; listed in the supplement as ""Papio hamadryas""."
RM0369,Populus trichocarpa,10.1111/j.1365-313x.2009.03828.x,A microarray‐based genotyping and genetic mapping approach for highly heterozygous outcrossing species enables localization of a large fraction of the unassembled Populus trichocarpa genome sequence,2009.0,,Corbett-Detig et al. 2015 S1_Table References sheet,"Map reference 74; listed in the supplement as ""P. trichocarpa × P. deltoides""."
RM0283,Mus musculus,10.1534/genetics.109.105486,A New Standard Genetic Map for the Laboratory Mouse,2009.0,,Corbett-Detig et al. 2015 S1_Table References sheet,"Map reference 68; listed in the supplement as ""Mus musculus""."
RM0290,Nasonia vitripennis,10.1038/hdy.2009.185,A comparison of recombination frequencies in intraspecific versus interspecific mapping populations of Nasonia,2010.0,,PDF supplied in Endnote_libraries/pdf,DOI read from Beukeboom_10.pdf and verified against Crossref.
RM0397,Rosa hybrida,10.1111/tpj.13496,Partial preferential chromosome pairing is genotype dependent in tetraploid rose,2017.0,,PDF supplied in Endnote_libraries/pdf,DOI read from Bourke_17_Rose.pdf and verified against Crossref.
RM0385,Pyrenophora teres,10.1186/gb-2010-11-11-r109,A first genome assembly of the barley fungal pathogen Pyrenophora teres f. teres,2010.0,,PDF supplied in Endnote_libraries/pdf,DOI read from Ellwood_10_P_teres.pdf and verified against Crossref.
RM0333,Philomachus pugnax,10.1002/ece3.830,A first‐generation microsatellite linkage map of the ruff,2013.0,,PDF supplied in Endnote_libraries/pdf,DOI read from Farrell_13_ruff.pdf and verified against Crossref.
RM0170,Eucalyptus globulus,10.1186/s12864-016-2884-y,Genome-wide variation in recombination rate in Eucalyptus,2016.0,,PDF supplied in Endnote_libraries/pdf,DOI read from Gion_16_Eucaluptus.pdf and verified against Crossref.
RM0449,Toxoplasma gondii,10.1093/nar/gki604,Composite genome map and recombination parameters derived from three archetypal lineages of Toxoplasma gondii,2005.0,,PDF supplied in Endnote_libraries/pdf,DOI read from Khan_05_T_gondii.pdf and verified against Crossref.
RM0337,Phytophthora capsici,10.1094/MPMI-02-12-0028-R,Genome Sequencing and Mapping Reveal Loss of Heterozygosity as a Mechanism for Rapid Adaptation in the Vegetable Pathogen Phytophthora capsici,2012.0,,PDF supplied in Endnote_libraries/pdf,DOI read from Lamour_12_P_capsici.pdf and verified against Crossref.
RM0246,Leptopilina clavipes,10.1534/genetics.104.027680,The Genetic Basis of Male Fertility in Relation to Haplodiploid Reproduction in Leptopilina clavipes (Hymenoptera: Figitidae),2004.0,,PDF supplied in Endnote_libraries/pdf,DOI read from Pannebakker_04_L_clavipes.pdf and verified against Crossref.
RM0383,Pungitius pungitius,10.1093/gbe/evv250,Construction of Ultradense Linkage Maps with Lep-MAP2: Stickleback F2Recombinant Crosses as an Example,2015.0,,PDF supplied in Endnote_libraries/pdf,DOI read from Rastas_16_stickleback.pdf and verified against Crossref.
