ref_number,species,si_first_author,si_year,si_title,citation_verbatim,reason,suggested_action
127,Eucalyptus_camaldulensis,Agrama,2002,Construction of genome map for Eucalyptus camaldulensis DEHN. Silvae Genetica 51:201-206,"Agrama, H. A., T. L. George, and S. F. Salah. 2002. Construction of genome map for Eucalyptus camaldulensis DEHN. Silvae Genetica 51:201-206.",Crossref returned an unrelated allelopathy thesis. Agrama 2002 Silvae Genetica likely has no DOI.,Manual lookup: Google Scholar / journal site / CrossRef by hand; add DOI or mark as no-DOI with a stable URL.
176,Labeo_rohita,Robinson,2014,A linkage map of transcribed single nucleotide polymorphisms in rohu (Labeo rohita) and QTL associated with resistance to Aeromonas hydrophila,"Robinson, N., M. Baranski, K. Das Mahapatra, J. N. Saha, S. Das, J. Mishra, P. Das, M. Kent, M. Arnyasi, and P. K. Sahoo. 2014. A linkage map of transcribed single nucleotide polymorphisms in rohu (Labeo rohita) and QTL associated with resistance to Aeromonas hydrophila. Bmc Genomics 15.","No Crossref match — likely pre-DOI, book chapter, thesis, or non-indexed journal.",Manual lookup: Google Scholar / journal site / CrossRef by hand; add DOI or mark as no-DOI with a stable URL.
198,Malus_sieversii,Liu,2016,Construction of a genetic linkage map and identification of QTL associated with growth traits in Malus sieversii,"Liu, Z. C., D. E. Bao, D. L. Liu, and X. S. Chen. 2016. Construction of a genetic linkage map and identification of QTL associated with growth traits in Malus sieversii. Journal of Environmental Biology 37:1043-1047.",Different first author (Zeng vs Liu) and different title; not the cited paper.,Manual lookup: Google Scholar / journal site / CrossRef by hand; add DOI or mark as no-DOI with a stable URL.
201,Manihot_esculenta,Alaba,2015,High-Resolution Linkage Map and Chromosome-Scale Genome,"Alaba, O. A., J. V. Bredeson, C. N. Egesi, W. Esuma, L. Ezenwaka, M. E. Ferguson, C. M. Ha, M. Hall, L. Herselman, A. Ikpan, E. Kafiriti, E. Kanju, F. Kapinga, A. Karugu, R. Kawuki, B. Kimata, P. Kimurto, P. Kulakow, H. Kulembeka, P. Kusolwa, J. B. Lyons, E. Masumba, A. van de Merwe, G. Mkamilo, A. A. Myburg, A. Nwaogu, I. Nzuki, B. Olasanmi, E. Okogbenin, O. Onyegbule, J. Owuoche, A. Pariyo, S. E. Prochnik, I. Y. Rabbi, D. S. Rokhsar, S. Rounsley, K. Salum, K. S. Shuaibu, C. Sichalwe, M. Stephen, and Icgmc. 2015. High-Resolution Linkage Map and Chromosome-Scale Genome",Unrelated paper; SI title is truncated so the query had too little to match on.,Manual lookup: Google Scholar / journal site / CrossRef by hand; add DOI or mark as no-DOI with a stable URL.
246,Persea_americana,Borrone,2009,An EST-SSR-based linkage map for Persea americana Mill. (avocado),"Borrone, J. W., J. S. Brown, C. L. Tondo, M. Mauro-Herrera, D. N. Kuhn, H. A. Violi, R. T. Sautter, and R. J. Schnell. 2009. An EST-SSR-based linkage map for Persea americana Mill. (avocado). Tree Genetics & Genomes 5:553-","No Crossref match — likely pre-DOI, book chapter, thesis, or non-indexed journal.",Manual lookup: Google Scholar / journal site / CrossRef by hand; add DOI or mark as no-DOI with a stable URL.
264,Plasmodium_chabaudi,Martinello,2005,An AFLP-based genetic linkage map of Plasmodium chabaudi,"Martinelli, A., P. Hunt, R. Fawcett, P. V. L. Cravo, D. Walliker, and R. Carter. 2005. An AFLP-based genetic linkage map of Plasmodium chabaudi","Matched a CABI species compendium page, not the Martinello AFLP map paper.",Manual lookup: Google Scholar / journal site / CrossRef by hand; add DOI or mark as no-DOI with a stable URL.
271,Populus_nigra,Gaudet,2008,"Genetic linkage maps of Populus nigra L. including AFLPs, SSRs, SNPs, and sex trait","Gaudet, M., V. Jorge, I. Paolucci, I. Beritognolo, G. S. Mugnozza, and M. Sabatti. 2008. Genetic linkage maps of Populus nigra L. including AFLPs, SSRs, SNPs, and sex trait. Tree Genetics & Genomes 4:25-36.","No Crossref match — likely pre-DOI, book chapter, thesis, or non-indexed journal.",Manual lookup: Google Scholar / journal site / CrossRef by hand; add DOI or mark as no-DOI with a stable URL.
278,Prunus_dulcis,Tavassolian,2010,Construction of an almond linkage map in an Australian population Nonpareil x Lauranne,"Tavassolian, I., G. Rabiei, D. Gregory, M. Mnejja, M. G. Wirthensohn, P. W. Hunt, J. P. Gibson, C. M. Ford, M. Sedgley, and S. B. Wu. 2010. Construction of an almond linkage map in an Australian population Nonpareil x Lauranne.","No Crossref match — likely pre-DOI, book chapter, thesis, or non-indexed journal.",Manual lookup: Google Scholar / journal site / CrossRef by hand; add DOI or mark as no-DOI with a stable URL.
290,Ricinus_communis,Rukam,2016,Development of linkage map and identification of QTLs responsible for fusarium wilt resistance in castor (Ricinus communis L.),"Rukam, S. T., M. V. Parakhia, J. R. Thakkar, V. M. Rathod, S. M. Padhiyar, V. D. Thummar, H. Dalal, V. V. Kothari, J. V. Kheni, R. M. Dhingani, and B. A. Golakiya. 2016. Development of linkage map and identification of QTLs responsible for fusarium wilt resistance in castor (Ricinus communis L.).",Different authors and title; not a confident match.,Manual lookup: Google Scholar / journal site / CrossRef by hand; add DOI or mark as no-DOI with a stable URL.
328,Trifolium_pratense,Hirakawa,2016,"Draft genome sequence of subterranean clover, a reference for genus Trifolium","Hirakawa, H., P. Kaur, K. Shirasawa, P. Nichols, S. Nagano, R. Appels, W. Erskine, and S. N. Isobe. 2016. Draft genome sequence of subterranean clover, a reference for genus Trifolium. Scientific Reports 6.","No Crossref match — likely pre-DOI, book chapter, thesis, or non-indexed journal.",Manual lookup: Google Scholar / journal site / CrossRef by hand; add DOI or mark as no-DOI with a stable URL.
