species_name,ott_id,ott_accepted_name,taxon_rank,family,source_family,source_ott_id,ott_change_type,ott_change_note,source_family_issue,duplicate_taxon_note,flag_fuzzy_match,flag_not_species_rank,flag_duplicate_taxon,flag_chromosome_conflict
Aegilops tauschii,ott881533,Aegilops tauschii,species,Poaceae,Poaceae,5148305,stored_was_hybrid,"Stored id pointed to the hybrid 'Aegilops tauschii x Secale cereale', not the species.",,,False,False,False,False
Ambystoma tigrinum,ott1092552,Ambystoma tigrinum,species,Ambystomatidae,Ambystomatidae,135594,stored_was_infraspecific,Stored id pointed to subspecies 'Ambystoma tigrinum tigrinum'.,,,False,False,False,False
Anthurium andreanum,ott319626,Anthurium andraeanum,species,Araceae,Araceae,3999674,same_genus_diff_species,Stored id was 'Anthurium longicaudatum'; name now resolves to 'Anthurium andraeanum'.,,,True,False,False,False
Anthurium ornatum,ott3999598,Anthurium nymphaeifolium,species,Araceae,Araceae,3999684,same_genus_diff_species,Stored id was 'Anthurium punctatum'; name now resolves to 'Anthurium nymphaeifolium'.,,,False,False,False,False
Argopecten irradians,ott887220,Argopecten irradians,species,Pectinidae,Pectinidae,6370122,stored_id_dead,Stored OTT id 6370122 no longer exists in the OTT taxonomy.,,,False,False,False,False
Aristichthys nobilis,ott429101,Hypophthalmichthys nobilis,species,Cyprinidae,Cyprinidae,5925455,stored_was_hybrid,"Stored id pointed to the hybrid 'Hypophthalmichthys nobilis x Hypophthalmichthys molitrix', not the species.",,,False,False,False,False
Astatotilapia burtoni,ott710025,Haplochromis burtoni,species,Cichlidae,Cichlidae,5861317,different_taxon,Stored id was 'Astatotilapia sp. RAD-224A' (species); name resolves to 'Haplochromis burtoni'.,,,False,False,False,False
Beta vulgaris,ott273185,Beta vulgaris,species,Chenopodiaceae,Amaranthaceae,273185,,,genuine taxonomic revision or error,,False,False,False,False
Betula pendula,ott267719,Betula pendula,species,Betulaceae,Betulaceae,5922058,stored_was_infraspecific,Stored id pointed to subspecies 'Betula pendula subsp. pendula'.,,,False,False,False,False
Bicyclus anynana,ott559934,Bicyclus anynana,species,Nymphalidae,Nymphalidae,3108421,different_taxon,Stored id was 'Mycalesis anynana' (species); name resolves to 'Bicyclus anynana'.,,,False,False,False,False
Bracon hebetor,ott41113,Habrobracon hebetor,species,Braconidae,Braconidae,3293364,different_taxon,Stored id was 'Bracon brevicornis' (species); name resolves to 'Habrobracon hebetor'.,,,False,False,False,False
Brassica campestris,ott240937,Brassica rapa subsp. oleifera,subspecies,Brassicaceae,Brassicaceae,240937,,,,,False,True,False,False
Camellia sinensis,ott1058509,Camellia sinensis,species,Theaceae,Brassicaceae,1058509,,,genuine taxonomic revision or error,,False,False,False,False
Ceratopteris richardii,ott780217,Ceratopteris richardii,species,Pteridaceae,Pteridopsidae,609865,same_genus_diff_species,Stored id was 'Ceratopteris cornuta'; name now resolves to 'Ceratopteris richardii'.,genuine taxonomic revision or error,,False,False,False,False
