species,si_ref_number,ref_id,doi
Acacia_mangium,1,butcher2000,10.1007/s001220051521
Acromyrmex_echinatior,2,sirvio2006,10.1111/j.1420-9101.2006.01131.x
Acropora_millepora,3,wang2009a,10.1186/gb-2009-10-11-r126
Actinidia_chinensis,4,scaglione2015,10.1007/s11295-015-0941-3
Acyrthosiphon_pisum,5,hawthorne2001a,10.1038/35091062
Aedes_aegypti,6,juneja2014,10.1371/journal.pntd.0002652
Aedes_albopictus,7,sutherland2010,10.1093/jhered/esq105
Aegilops_sharonensis,8,olivera2013,10.1139/gen-2013-0065
Aegilops_tauschii,9,luo2013,10.1073/pnas.1219082110
Aegilops_umbellulata,10,edae2017,10.1534/g3.117.039966
Agaricus_bisporus,11,foulongneoriol2010,10.1016/j.fgb.2009.12.003
Agrostis_capillaris,12,rotter2009,10.2135/cropsci2008.12.0714
Agrostis_stolonifera,13,honig2014,10.1007/s11032-014-0029-z
Allium_cepa,14,baldwin2012,10.1186/1471-2164-13-637
Amaranthus_hybridus,15,maughan2011,10.3835/plantgenome2010.12.0027
Ambystoma_tigrinum,16,smith2005,10.1534/genetics.105.046433
Ananas_comosus,17,desousa2013,10.1016/j.scienta.2013.04.018
Anas_platyrhynchos,18,huang2009,10.1186/1297-9686-41-28
Anguilla_japonica,19,kai2014,10.1186/1471-2164-15-233
Anopheles_funestus,20,wondji2007,10.1186/1471-2164-8-34
Anoplopoma_fimbria,21,rondeau2013,10.1186/1471-2164-14-452
Anthurium_andreanum,22,venkat2014,10.1016/j.scienta.2014.08.017
Apis_cerana,23,shi2013,10.1371/journal.pone.0076459
Apis_mellifera,24,solignac2007,10.1186/gb-2007-8-4-r66
Apostichopus_japonicus,25,tian2015,10.1038/srep14852
Arabidopsis_halleri,26,willems2007,10.1534/genetics.106.064485
Arabidopsis_thaliana,27,singer2006,10.1371/journal.pgen.0020144
Arachis_duranensis,28,nagy2010,10.1007/s11032-010-9430-4
Arachis_hypogaea,29,zhou2014,10.1186/1471-2164-15-351
Argopecten_irradians,30,li2012,10.1371/journal.pone.0046926
Aristichthys_nobilis,31,zhu2014,10.1111/age.12194
Artemia_franciscana,32,devos2013,10.1371/journal.pone.0057585
Ascochyta_rabiei,33,phan2003,10.1046/j.1364-3703.2003.00185.x
Aspergillus_nidulans,34,christians2011,10.1371/journal.pone.0019325
Astatotilapia_burtoni,35,sanetra2009,10.1534/genetics.108.089367
Astyanax_mexicanus,36,carlson2015,10.1534/g3.114.015438
Avena_sativa,37,chaffin2016,10.3835/plantgenome2015.10.0102
Bactrocera_cucurbitae,38,sim2017,10.1534/g3.117.040170
Barbarea_vulgaris,39,kuzina2011,10.1016/j.phytochem.2010.11.007
Begonia_plebeja,40,brennan2012,10.1007/s12042-012-9109-6
Beta_vulgaris,41,laurent2007,10.1007/s00122-007-0609-y
Betula_pendula,42,jiang2010,10.1007/s11032-010-9436-y
Bicyclus_anynana,43,beldade2009,10.1371/journal.pgen.1000366
Bison_bison,44,schnabel2003,10.1159/000075726
Biston_betularia,45,vanthof2012,10.1038/hdy.2012.84
Boehmeria_nivea,46,liu2014,10.1007/s11032-014-0082-7
Bombus_terrestris,47,stolle2011,10.1186/1471-2164-12-48
Bombyx_mori,48,zhan2009a,10.1186/1471-2164-10-389
Bos_taurus,49,ihara2004,10.1101/gr.2741704
Bracon_hebetor,50,holloway2000,10.1093/genetics/154.1.205
Brassica_campestris,51,cheng2009,10.1016/s1673-8527(08)60140-x
Brassica_carinata,52,zou2014,10.1007/s00122-014-2321-z
Brassica_juncea,53,zou2016,10.1186/s12864-015-2343-1
Brassica_napus,54,zhang2016a,10.1038/srep33113
Brassica_oleracea,55,zhao2016a,10.3389/fpls.2016.00334
Brassica_rapa,56,yu2016,10.1007/s11032-016-0467-x
Cajanus_cajan,57,bohra2012,10.1007/s00122-012-1916-5
Camelina_sativa,58,gehringer2006,10.1139/g06-117
Camellia_sinensis,59,taniguchi2012,10.1270/jsbbs.62.263
Canis_lupus,60,wong2010,10.1534/genetics.109.106831
Capra_hircus,61,schibler1998,10.1101/gr.8.9.901
Capsella_bursa-pastoris,62,linde2001,10.1006/anbo.2000.1308
Capsicum_annuum,63,han2016,10.1093/dnares/dsv038
Capsicum_baccatum,64,lee2016,10.1007/s11032-016-0485-8
Carassius_auratus,65,kuang2016,10.1038/srep34849
Carica_papaya,66,chen2007,10.1534/genetics.107.081463
Carthamus_tinctorius,67,bowers2016,10.1534/g3.115.026690
Castanea_mollissima,68,kubisiak2012,10.1007/s11295-012-0579-3
Catharanthus_roseus,69,sharma2012,10.1007/s12041-012-0150-x
Ceratopteris_richardii,70,nakazato2006,10.1534/genetics.106.055624
Chenopodium_quinoa,71,maughan2012,10.3835/plantgenome2012.06.0011
Chimonanthus_praecox,72,chen2010a,10.1016/j.scienta.2009.12.008
Chlamydomonas_reinhardtii,73,kathir2003,10.1128/ec.2.2.362-379.2003
Chlamys_farreri,74,zhan2009b,10.1111/j.1365-2052.2009.01920.x
Cicer_arietinum,75,gaur2015,10.1038/srep13387
Ciona_intestinalis,76,kano2006,10.2108/zsj.23.31
Ciona_savignyi,77,hill2008,10.1101/gr.078576.108
Citrullus_lanatus,78,reddy2014,10.1534/g3.114.012815
Citrus_clementina,79,ollitrault2012,10.1186/1471-2164-13-593
Citrus_sinensis,80,guo2015a,10.1007/s11295-014-0831-0
Clunio_marinus,81,kaiser2012,10.1371/journal.pone.0032092
Cocos_nucifera,82,riedel2008,10.1007/s11295-008-0168-7
Coffea_arabica,83,moncada2015,10.1007/s11295-015-0927-1
Coprinus_cinereus,84,muraguchi2003,10.1016/s1087-1845(03)00087-2
Corchorus_capsularis,85,biswas2015,10.1007/s11032-015-0311-8
Corchorus_olitorius,86,kundu2015,10.1007/s11032-015-0249-x
Coregonus_clupeaformis,87,gagnaire2012,10.1111/mec.12127
Cornus_florida,88,wang2008a,10.1007/s10681-008-9802-6
Coturnix_japonica,89,kikuchi2005,10.1111/j.1365-2052.2005.01295.x
Crassostrea_gigas,90,hedgecock2015,10.1534/g3.115.019570
Crassostrea_virginica,91,yu2003,10.2307/1543603
Crocodylus_porosus,92,miles2009,10.1186/1471-2164-10-339
Cryptococcus_neoformans,93,marra2004,10.1534/genetics.103.023408
Cryptomeria_japonica,94,moriguchi2016,10.1007/s11295-016-1011-1
Ctenopharyngodon_idella,95,xia2010,10.1186/1471-2164-11-135
Cucumis_melo,96,diaz2011,10.1186/1471-2229-11-111
Cucumis_sativus,97,zhu2016,10.3389/fpls.2016.00437
Cucurbita_maxima,98,zhang2015a,10.1186/s12864-015-2312-8
Cucurbita_moschata,99,gong2008,10.1139/g08-072
Cucurbita_pepo,100,monteropau2017,10.1186/s12864-016-3439-y
Culex_pipiens,101,hickner2013,10.1093/jhered/est040
Cyanistes_caeruleus,102,hansson2009,10.1038/hdy.2009.107
Cynara_cardunculus,103,portis2009,10.1007/s00122-009-1159-2
Cynodon_dactylon,104,harrisshultz2010,10.21273/jashs.135.6.511
Cynoglossus_semilaevis,105,song2012,10.1371/journal.pone.0052097
Cyprinus_carpio,106,zhao2013a,10.1371/journal.pone.0063928
Dactylis_glomerata,107,zhao2016b,10.1038/srep29345
Danio_rerio,108,bradley2011,10.1534/g3.111.000190
Daphnia_magna,109,dukic2016,10.1186/s12863-016-0445-7
Daphnia_pulex,110,cristescu2006,10.1016/j.ygeno.2006.03.007
Daucus_carota,111,cavagnaro2014,10.1186/1471-2164-15-1118
Dianthus_caryophyllus,112,yagi2013,10.1186/1471-2164-14-734
Dicentrarchus_labrax,113,chistiakov2008,10.1111/j.1365-2052.2008.01786.x
Drosophila_serrata,114,stocker2012,10.1534/g3.111.001354
Ectocarpus_siliculosus,115,heesch2010,10.1111/j.1469-8137.2010.03273.x
Eimeria_maxima,116,blake2011,10.1016/j.ijpara.2010.09.004
Eimeria_tenella,117,shirley2000,10.1101/gr.149200
Elaeis_guineensis,118,ting2016,10.1186/s12864-016-2607-4
Elaeis_oleifera,119,montoya2013,10.1007/s11295-013-0629-5
Elymus_lanceolatus,120,mott2011,10.1139/g11-045
Epinephelus_aeneus,121,dor2014,10.1534/g3.114.011387
Equus_caballus,122,swinburne2006,10.1016/j.ygeno.2005.09.001
Eremochloa_ophiuroides,123,zheng2013,10.1016/j.scienta.2013.03.030
Eriobotrya_japonica,124,fukuda2016,10.1007/s11295-016-1040-9
Eriocheir_sinensis,125,cui2015,10.1038/hdy.2015.26
Esox_lucius,126,rondeau2014,10.1371/journal.pone.0102089
Eucalyptus_camaldulensis,127,agrama2002,
Eucalyptus_grandis,128,hudson2012,10.1186/1471-2164-13-240
Eucalyptus_tereticornis,129,li2015a,10.1371/journal.pone.0145144
Eucalyptus_urophylla,130,li2015b,10.1371/journal.pone.0145144
Eucommia_ulmoides,131,li2014a,10.3390/ijms15022053
Fagopyrum_esculentum,132,yabe2014,10.1270/jsbbs.64.291
Felis_silvestris,133,li2016,10.1534/g3.116.028746
Fenneropenaeus_chinensis,134,wang2012,10.1134/s102279541204014x
Festuca_arundinacea,135,dierking2015,10.3835/plantgenome2014.07.0032
Ficedula_albicollis,136,backstrom2008,10.1534/genetics.108.088195
Fragaria_iinumae,137,mahoney2016,10.3835/plantgenome2015.08.0071
Fragaria_vesca,138,davik2015,10.1371/journal.pone.0137746
