source_row,species,si_first_author_in_data,year_in_data,si_ref_number,ref_id,doi,needs_reference
1,Acacia_mangium,Butcher,2000,1.0,butcher2000,10.1007/s001220051521,False
2,Acromyrmex_echinatior,Sirvio,2011,2.0,sirvio2006,10.1111/j.1420-9101.2006.01131.x,False
3,Acropora_millepora,Wang,2009,3.0,wang2009a,10.1186/gb-2009-10-11-r126,False
4,Actinidia_chinensis,Scaglione,2015,4.0,scaglione2015,10.1007/s11295-015-0941-3,False
5,Actinidia_rufa,Zhang,2015,,,,True
6,Acyrthosiphon_pisum,Hawthorne,2001,5.0,hawthorne2001a,10.1038/35091062,False
7,Aedes_aegypti,Juneja,2014,6.0,juneja2014,10.1371/journal.pntd.0002652,False
8,Aedes_albopictus,Sutherland,2011,7.0,sutherland2010,10.1093/jhered/esq105,False
9,Aegilops_sharonensis,Olivera,2013,8.0,olivera2013,10.1139/gen-2013-0065,False
10,Aegilops_tauschii,Luo,2013,9.0,luo2013,10.1073/pnas.1219082110,False
11,Aegilops_umbellulata,Edae,2017,10.0,edae2017,10.1534/g3.117.039966,False
12,Agaricus_bisporus,Foulogne-Oriol,2010,11.0,foulongneoriol2010,10.1016/j.fgb.2009.12.003,False
13,Agaricus_subrufescens,Foulogne-Oriol,2016,,,,True
14,Agrostis_capillaris,Rotter,2009,12.0,rotter2009,10.2135/cropsci2008.12.0714,False
15,Agrostis_stolonifera,Honig,2014,13.0,honig2014,10.1007/s11032-014-0029-z,False
16,Allium_cepa,Baldwin,2012,14.0,baldwin2012,10.1186/1471-2164-13-637,False
17,Allium_fistulosum,Tsukazaki,2012,,,,True
18,Amaranthus_hybridus,Maughan,2011,15.0,maughan2011,10.3835/plantgenome2010.12.0027,False
19,Ambystoma_tigrinum,Smith,2005,16.0,smith2005,10.1534/genetics.105.046433,False
20,Amphilophus_astorquii,Recknagel,2013,,,,True
21,Amylostereum_areolatum,vanderNest,2009,,,,True
22,Ananas_comosus,deSousa,2013,17.0,desousa2013,10.1016/j.scienta.2013.04.018,False
23,Anas_platyrhynchos,Huang,2009,18.0,huang2009,10.1186/1297-9686-41-28,False
24,Anguilla_japonica,Kai,2014,19.0,kai2014,10.1186/1471-2164-15-233,False
25,Anopheles_funestus,Wondji,2007,20.0,wondji2007,10.1186/1471-2164-8-34,False
26,Anopheles_gambiae,Corbet-Detig,2015,,,,True
27,Anoplopoma_fimbria,Rondeau,2013,21.0,rondeau2013,10.1186/1471-2164-14-452,False
28,Anthurium_andreanum,Venkat,2014,22.0,venkat2014,10.1016/j.scienta.2014.08.017,False
29,Anthurium_ornatum,Venkat,2014,,,,True
30,Apis_cerana,Shi,2013,23.0,shi2013,10.1371/journal.pone.0076459,False
31,Apis_mellifera,Corbet-Detig,2015,24.0,solignac2007,10.1186/gb-2007-8-4-r66,False
32,Apis_mellifera,Wilfert,2007,24.0,solignac2007,10.1186/gb-2007-8-4-r66,False
33,Apostichopus_japonicus,Tian,2015,25.0,tian2015,10.1038/srep14852,False
34,Arabidopsis_halleri,Willems,2007,26.0,willems2007,10.1534/genetics.106.064485,False
35,Arabidopsis_thaliana,Corbet-Detig,2015,27.0,singer2006,10.1371/journal.pgen.0020144,False
36,Arabidopsis_thaliana,Singer,2015,27.0,singer2006,10.1371/journal.pgen.0020144,False
37,Arachis_duranensis,Nagy,2010,28.0,nagy2010,10.1007/s11032-010-9430-4,False
38,Arachis_hypogaea,Zhou,2014,29.0,zhou2014,10.1186/1471-2164-15-351,False
39,Argopecten_irradians,Li,2012,30.0,li2012,10.1371/journal.pone.0046926,False
