no,Ref,year,corbett,species,uid,pid,check,phyl.info,ott.uid,ott.pid,Habitat,par.path,invasive,Kingdom,Tax.grp,Group,newGroup,SubGroup,newSubGroup,newSubGroup2,newSubGroupClade,newSubGrp2,Class,Order,newOrder,Family,newFamily,het.a.chiasmy,F.map.length,M.map.length,F.M.ratio,Sexual.sys,Karyotype,Genotypic,Size.Mb,Cval,est.Gsize.Mb,combined.Gsize,chr.2n,chr1n,No.Ind,Marker.mapped,av.sex,MapLength.cM,MarkerInterval ,LinkageGrps,CM.length.est,RR_Mb.cM,CorrectedRR,RR,haplodiploid,Selfing,plant.LifeForm,RI_hap,RI_chiasma,RI_status,PlantGrowthForm,LeafType,LeafPhenology,PhotosyntheticPathway,Woodiness,LeafCompoundness,Total.spp,Dioe,Pollination
1,Butcher,2000,n,Acacia_mangium ,444202,560307,y,Acacia_mangium ,ott444202,ott560307,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superrosids,Superrosids,Fabids,Eudicots,Eudicots,Fabales,Fabales,Fabaceae,Fabaceae,H,834,795,1.04905660377359,hermaphrodite,NA,NA,NA,0.65,635.7,635.7,26,13,26,252,n,966,4.6,13,1548,NA,NA,1.51958470976876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Sirvio,2011,n,Acromyrmex_echinatior,735589,680779,y,Acromyrmex_echinatior,ott735589,ott680779,Terrestrial,n,n,Eukaryota,Opisthokonta ,Animals,Invert,Insects,Insects,Insects,Insects,Insects,Insecta,Hymenoptera,Hymenoptera,Formicidae,Formicidae,NA,NA,NA,NA,male.haploid,NA,NA,NA,NA,335,335,38,19,NA,145,n,2033.8,14,22,2076,6.2,NA,6.0710447761194,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Wang,2009,n,Acropora_millepora,718262,712401,y,Acropora_millepora,ott718262,ott712401,Aquatic,n,n,Eukaryota,Opisthokonta ,Animals,Invert,Cnidaria,OtherAnimals,OtherAnimals,OtherAnimals,OtherAnimals,Anthozoa,Scleractinia,OtherInvert,Acroporidae,OtherInvert,H,1185.8,945.5,1.25415124272872,hermaphrodite,NA,NA,NA,NA,NA,420,28,14,NA,429,n,1391,3.4,14,1493,NA,NA,3.31190476190476,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Scaglione,2015,n,Actinidia_chinensis,279981,279984,y,Actinidia_chinensis,ott279981,ott279984,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superasterids,Superasterids,Asterids,Eudicots,Eudicots,Ericales,Ericales,Actinidiaceae,Actinidiaceae,H,3614,3276,1.1031746031746,dioecy,H,NA,604.22,NA,1408.32,1408.32,58,29,94,6112,y,3445,2.59,29,NA,NA,NA,2.44617700522609,n,NA,NA,NA,NA,NA,shrub,broadleaved,deciduous,C3,woody,simple,30,8,insects
5,Zhang,2015,n,Actinidia_rufa,279954,279984,y,Actinidia_rufa,ott279954,ott279984,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Eudicots,Angiosperms,Superasterids,Superasterids,Asterids,Eudicots,Eudicots,Ericales,Ericales,Actinidiaceae,Actinidiaceae,NA,NA,NA,NA,dioecy,H,NA,NA,NA,NA,NA,58,29,NA,2426,n,2651,1.09,29,NA,NA,NA,#VALUE!,n,NA,NA,NA,NA,NA,NA,broadleaved,NA,C3,NA,NA,30,8,insects
6,Hawthorne,2001,n,Acyrthosiphon_pisum,814484,814488,y,Acyrthosiphon_pisum,ott814484,ott814488,Terrestrial,n,n,Eukaryota,Opisthokonta ,Animals,Invert,Insects,Insects,Insects,Insects,Insects,Insecta,Hemiptera,Hemiptera,Aphididae,OtherHemiptera,NA,NA,NA,NA,parthenogenic,XO,MH,NA,NA,NA,165,10,5,NA,173,n,394,10.9,4,NA,4.8,NA,2.38787878787879,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Juneja,2014,n,Aedes_aegypti,269666,565822,y,Aedes_aegypti,ott269666,ott565822,Terrestrial,n,y,Eukaryota,Opisthokonta ,Animals,Invert,Insects,Insects,Insects,Insects,Insects,Insecta,Diptera,Diptera,Culicidae,Culicidae,NA,NA,NA,NA,gonochorous,NA,NA,1383.96,0.963333333333333,942.14,942.14,6,3,99,2000,n,235,NA,3,NA,0.291,NA,0.249432143842741,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Sutherland,2011,n,Aedes_albopictus,793181,565822,y,Aedes_albopictus,ott793181,ott565822,Terrestrial,n,y,Eukaryota,Opisthokonta ,Animals,Invert,Insects,Insects,Insects,Insects,Insects,Insecta,Diptera,Diptera,Culicidae,Culicidae,NA,NA,NA,NA,gonochorous,NA,NA,2111.34,1.115,1090.47,1090.47,6,3,NA,73,n,212.6,2.9,3,NA,NA,NA,0.194961805460031,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Olivera,2013,n,Aegilops_sharonensis,327444,267024,y,Aegilops_sharonensis,ott327444,ott267024,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Commelinid,Commelinid,Commelinid,Monocots,Monocots,Poales,Poales,Poaceae,Poaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,6894.9,6894.9,14,7,179,401,n,818,3.63,10,NA,NA,NA,0.118638413900129,n,NA,NA,NA,NA,NA,graminoid,broadleaved,NA,NA,non-woody,NA,NA,NA,NA
10,Luo,2013,n,Aegilops_tauschii,5148305,5148303,y,Aegilops_tauschii,ott5148305,ott5148303,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Commelinid,Commelinid,Commelinid,Monocots,Monocots,Poales,Poales,Poaceae,Poaceae,NA,NA,NA,NA,NA,NA,NA,4327.21,NA,4327.21,4327.21,14,7,1102,7185,n,1374.4,0.193,7,NA,0.32,NA,0.31761804950534,n,NA,NA,NA,NA,NA,graminoid,broadleaved,NA,NA,non-woody,simple,NA,NA,NA
11,Edae,2017,n,Aegilops_umbellulata,790374,267024,y,Aegilops_umbellulata,ott790374,ott267024,Terrestrial,n,n,Eukaryota,Archaeplastida,Plants,Monocots,Angiosperms,Commelinid,Commelinid,Commelinid,Monocots,Monocots,Poales,Poales,Poaceae,Poaceae,NA,NA,NA,NA,NA,NA,NA,NA,5.05,4938.9,4938.9,14,7,140,3009,n,948.72,0.3,7,NA,NA,NA,0.192091356374901,n,SC,NA,NA,NA,NA,graminoid,broadleaved,NA,NA,non-woody,simple,NA,NA,NA
12,Foulogne-Oriol,2010,n,Agaricus_bisporus,564405,737448,y,Agaricus_bisporus,ott564405,ott737448,Terrestrial,n,n,Eukaryota,Opisthokonta ,Fungi,Fungi,Basidiomycota,Fungi,Fungi,Fungi,Fungi,Agaricomycetes,Agaricales,Agaricales,Agaricaceae,Agaricaceae,NA,NA,NA,NA,NA,H,NA,30.2337,NA,30.2337,30.2337,26,13,NA,231,n,1156,3.9,13,NA,NA,NA,38.235478952295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
