Ref,year,species,speciesOTT,Group,par.path,Genome.Size.Mb,HCN,MapLength.cM,Sexual.sys,Ref.number,RR.cM.Mb
Butcher,2000,Acacia_mangium,Acacia_mangium_ott444202,Plants,n,635.7,13,966,NA,1,1.51958471
Sirvio,2011,Acromyrmex_echinatior,Acromyrmex_echinatior_ott735589,Animals,n,335,19,2033.8,male.haploid,2,6.071044776
Wang,2009,Acropora_millepora,Acropora_millepora_ott5908120,Animals,n,420,14,1391,hermaphrodite,3,3.311904762
Scaglione,2015,Actinidia_chinensis,Actinidia_chinensis_ott279981,Plants,n,1408.32,29,3445,NA,4,2.446177005
Hawthorne,2001,Acyrthosiphon_pisum,Acyrthosiphon_pisum_ott814484,Animals,n,165,5,394,parthenogenic,5,2.387878788
Juneja,2014,Aedes_aegypti,Aedes_aegypti_ott269666,Animals,n,942.14,3,235,gonochorous,6,0.249432144
Sutherland,2011,Aedes_albopictus,Aedes_albopictus_ott793181,Animals,n,1090.47,3,212.6,gonochorous,7,0.194961805
Olivera,2013,Aegilops_sharonensis,Aegilops_sharonensis_ott327444,Plants,n,6894.9,7,818,NA,8,0.118638414
Luo,2013,Aegilops_tauschii,Aegilops_tauschii_ott881533,Plants,n,4327.21,7,1374.4,NA,9,0.31761805
Edae,2017,Aegilops_umbellulata,Aegilops_umbellulata_ott790374,Plants,n,4938.9,7,948.72,NA,10,0.192091356
Foulogne-Oriol,2010,Agaricus_bisporus,Agaricus_bisporus_ott564405,Fungi,n,30.2337,13,1156,NA,11,38.23547895
Rotter,2009,Agrostis_capillaris,Agrostis_capillaris_ott550221,Plants,n,4000.02,14,1156,NA,12,0.288998555
Honig,2014,Agrostis_stolonifera,Agrostis_stolonifera_ott307879,Plants,n,3423,14,1424,NA,13,0.416009349
Baldwin,2012,Allium_cepa,Allium_cepa_ott781600,Plants,n,16381.5,9,808,NA,14,0.049323932
Maughan,2011,Amaranthus_hybridus,Amaranthus_hybridus_ott317810,Plants,n,616.14,16,1288,NA,15,2.090433992
Smith,2005,Ambystoma_tigrinum,Ambystoma_tigrinum_ott1092552,Animals,n,30875.46,14,5251.3,gonochorous,16,0.170080057
deSousa,2013,Ananas_comosus,Ananas_comosus_ott627039,Plants,n,537.9,25,2113,NA,17,3.92823945
Huang,2009,Anas_platyrhynchos,Anas_platyrhynchos_ott765167,Animals,n,1375.72,40,1766,gonochorous,18,1.283691449
Kai,2014,Anguilla_japonica,Anguilla_japonica_ott854198,Animals,n,1151.14,19,1436.5,gonochorous,19,1.247893393
Wondji,2007,Anopheles_funestus,Anopheles_funestus_ott286257,Animals,n,225.224,3,145,gonochorous,20,0.643803502
Rondeau,2013,Anoplopoma_fimbria,Anoplopoma_fimbria_ott441856,Animals,n,757.95,24,1332.8,NA,21,1.758427337
Venkat,2014,Anthurium_andreanum,Anthurium_longicaudatum_ott3999674,Plants,n,4694.4,15,1023.5,NA,22,0.218025733
Shi,2013,Apis_cerana,Apis_cerana_ott625771,Animals,n,185.82,16,574.5,male.haploid,23,3.091701647
Wilfert,2007,Apis_mellifera,Apis_mellifera_ott461645,Animals,n,229.83,16,4115,male.haploid,24,17.90453814
Tian,2015,Apostichopus_japonicus,Apostichopus_japonicus_ott721060,Animals,n,664.37,22,3706.6,gonochorous,25,5.579120069
Willems,2007,Arabidopsis_halleri,Arabidopsis_halleri_ott152273,Plants,n,234.72,8,567,NA,26,2.415644172
Singer,2015,Arabidopsis_thaliana,Arabidopsis_thaliana_ott309263,Plants,n,123.5,5,422.5,NA,27,3.421052632
Nagy,2010,Arachis_duranensis,Arachis_duranensis_ott607569,Plants,n,1242.06,10,1081.3,NA,28,0.87056986
Zhou,2014,Arachis_hypogaea,Arachis_hypogaea_ott39541,Plants,n,2806.86,20,1446.7,NA,29,0.515415803
Li,2012,Argopecten_irradians,Argopecten_irradians_ott6370122,Animals,n,1173.6,16,849.3,NA,30,0.723670757
Zhu,2014,Aristichthys_nobilis,Argopecten_irradians_ott887220,Animals,n,865.53,24,1917.3,gonochorous,31,2.215174517
DeVos,2013,Artemia_franciscana,Artemia_franciscana_ott59094,Animals,n,948.66,21,1177,gonochorous,32,1.240697405
Phan,2003,Ascochyta_rabiei,Didymella_rabiei_ott5712886,Fungi,y,34.6583,14,1271,NA,33,36.67231226
Christians,2011,Aspergillus_nidulans,Aspergillus_nidulans_ott117339,Fungi,n,30.2427,8,3624.7,NA,34,119.8537168
Sanetra,2009,Astatotilapia_burtoni,Astatotilapia_ott710024,Animals,n,948.66,20,1249.3,NA,35,1.316910168
Carlson,2015,Astyanax_mexicanus,Astyanax_mexicanus_ott701518,Animals,n,1191.24,25,2110.7,gonochorous,36,1.77185118
Chafffin,2016,Avena_sativa,Avena_sativa_ott790381,Plants,n,12938.94,21,2843,NA,37,0.219724336
Sim,2017,Bactrocera_cucurbitae,Bactrocera_cucurbitae_ott227727,Animals,n,373,5,646,gonochorous,38,1.731903485
Kuzina,2011,Barbarea_vulgaris,Barbarea_vulgaris_ott35910,Plants,n,167.352,8,889,NA,39,5.312156413
Brennan,2012,Begonia_plebeja,Begonia_plebeja_ott434483,Plants,n,616.14,14,1099,NA,40,1.783685526
Laurent,2007,Beta_vulgaris,Beta_vulgaris_ott273185,Plants,n,1222.5,9,555,NA,41,0.45398773
Jiang,2011,Betula_pendula,Betula_pendula_ott267719,Plants,n,1369.2,14,2489.7,NA,42,1.818361087
Beldade,2009,Bicyclus_anynana,Mycalesis_anynana_ott3108421,Animals,n,479.22,28,1642.2,gonochorous,43,3.42681858
Schnabel,2003,Bison_bison,Bison_bison_ott907693,Animals,n,4792.2,30,2647,gonochorous,44,0.552355912
VantHof,2013,Biston_betularia,Biston_betularia_ott968114,Animals,n,500,31,1638,gonochorous,45,3.276
Liu,2014,Boehmeria_nivea,Boehmeria_nivea_ott594991,Plants,n,716,14,2265.1,NA,46,3.163547486
Stolle,2011,Bombus_terrestris,Bombus_terrestris_ott161197,Animals,n,518.34,18,2047,male.haploid,47,3.949145349
Zhan,2009,Bombyx_mori,Bombyx_mori_ott440274,Animals,n,513.45,28,3320,gonochorous,48,6.466062908
Ihara,2004,Bos_taurus,Bos_taurus_ott490099,Animals,n,3537.1,31,3159.1,gonochorous,49,0.893132792
Holloway,2001,Bracon_hebetor,Bracon_brevicornis_ott3293364,Animals,y,165,10,536.1,male.haploid,50,3.249090909
Cheng,2009,Brassica_campestris,Brassica_rapa_subsp_oleifera_ott240937,Plants,n,567.24,10,973.3,NA,51,1.715852197
Zou,2014,Brassica_carinata,Brassica_carinata_ott749459,Plants,n,1545.24,17,2048,NA,52,1.325360462
Zou,2016,Brassica_juncea,Brassica_juncea_ott309279,Plants,n,1496.34,18,1579,NA,53,1.055241456
Zhang,2016,Brassica_napus,Brassica_napus_ott309234,Plants,n,1124.7,19,1917.9,NA,54,1.705254735
Zhao,2016,Brassica_oleracea,Brassica_oleracea_ott833642,Plants,n,762.8,9,890.01,NA,55,1.166767174
Yu,2016,Brassica_rapa,Brassica_rapa_ott833632,Plants,n,782.4,10,858.98,NA,56,1.097878323
Bohra,2012,Cajanus_cajan,Cajanus_cajan_ott612448,Plants,n,860.64,11,1059,NA,57,1.230479643
Gehringer,2006,Camelina_sativa,Camelina_sativa_ott776348,Plants,n,641.356,20,1385.6,NA,58,2.160422605
Taniguchi,2012,Camellia_sinensis,Camellia_sinensis_ott1058509,Plants,n,3814.2,15,1218,NA,59,0.319333019
Wong,2010,Canis_lupus,Canis_lupus_ott247341,Animals,n,2748.18,39,2085.1,gonochorous,60,0.758720317
Schibler,1998,Capra_hircus,Capra_hircus_ott19017,Animals,n,3168.72,30,2737,gonochorous,61,0.863755712
Linde,2001,Capsella_bursa-pastoris,Capsella_bursa_pastoris_ott833644,Plants,n,391.2,16,1064.4,NA,62,2.720858896
Han,2016,Capsicum_annuum,Capsicum_annuum_ott473836,Plants,n,3090.48,12,1372,NA,63,0.443943983
Lee,2016,Capsicum_baccatum,Capsicum_baccatum_ott232458,Plants,n,3628.38,12,1056,NA,64,0.291038976
Kuang,2016,Carassius_auratus,Carassius_auratus_ott1005907,Animals,n,1643.04,50,5252,NA,65,3.196513779
Chen,2007,Carica_papaya,Carica_papaya_ott429474,Plants,n,372,18,1069.9,NA,66,2.876075269
Bowers,2016,Carthamus_tinctorius,Carthamus_tinctorius_ott1061541,Plants,n,1369.2,12,959.44,NA,67,0.700730353
Kubisiak,2013,Castanea_mollissima,Castanea_mollissima_ott540978,Plants,n,833.241,12,743,NA,68,0.8916988
Sharma,2011,Catharanthus_roseus,Catharanthus_roseus_ott524094,Plants,n,2376.5,6,1790.4,NA,69,0.753376815
