map_id,ott_id,species_name,ref_id,map_length_cM,genome_size_mb,genome_size_method,map_sex,n_markers,n_linkage_groups,haploid_chromosome_number,passes_2017_criteria,in_published_353,recombination_rate_cM_per_Mb,map_length_per_chromosome_cM,marker_interval_cM,fm_map_length_ratio
RM0001,ott444202,Acacia mangium,butcher2000,966.0,635.7,c_value,sex_averaged,252.0,13.0,13.0,True,True,1.519585,74.308,3.8333,1.0491
RM0002,ott735589,Acromyrmex echinatior,sirvio2006,2033.8,335.0,estimate_unspecified,sex_averaged,145.0,22.0,19.0,True,True,6.071045,107.042,14.0262,
RM0003,ott718262,Acropora millepora,wang2009a,1391.0,420.0,other_literature,sex_averaged,429.0,14.0,14.0,True,True,3.311905,99.357,3.2424,1.2542
RM0004,ott279981,Actinidia chinensis,scaglione2015,3445.0,1408.32,estimate_unspecified,sex_averaged,6112.0,29.0,29.0,True,True,2.446177,118.793,0.5636,1.1032
RM0006,ott814484,Acyrthosiphon pisum,hawthorne2001a,394.0,165.0,other_literature,sex_averaged,173.0,4.0,5.0,True,True,2.387879,78.8,2.2775,
RM0007,ott269666,Aedes aegypti,juneja2014,235.0,942.14,c_value,sex_averaged,2000.0,3.0,3.0,True,True,0.249432,78.333,0.1175,
RM0008,ott793181,Aedes albopictus,sutherland2010,212.6,1090.47,c_value,sex_averaged,73.0,3.0,3.0,True,True,0.194962,70.867,2.9123,
RM0009,ott327444,Aegilops sharonensis,olivera2013,818.0,6894.9,estimate_unspecified,sex_averaged,401.0,10.0,7.0,True,True,0.118638,116.857,2.0399,
RM0010,ott881533,Aegilops tauschii,luo2013,1374.4,4327.21,estimate_unspecified,sex_averaged,7185.0,7.0,7.0,True,True,0.317618,196.343,0.1913,
RM0011,ott790374,Aegilops umbellulata,edae2017,948.72,4938.9,c_value,sex_averaged,3009.0,7.0,7.0,True,True,0.192091,135.531,0.3153,
RM0012,ott564405,Agaricus bisporus,foulongneoriol2010,1156.0,30.2337,estimate_unspecified,sex_averaged,231.0,13.0,13.0,True,True,38.235479,88.923,5.0043,
RM0014,ott550221,Agrostis capillaris,rotter2009,1156.0,4000.02,estimate_unspecified,sex_averaged,212.0,14.0,14.0,True,True,0.288999,82.571,5.4528,
RM0015,ott307879,Agrostis stolonifera,honig2014,1424.0,3423.0,estimate_unspecified,sex_averaged,385.0,14.0,14.0,True,True,0.416009,101.714,3.6987,
RM0016,ott781600,Allium cepa,baldwin2012,808.0,16381.5,estimate_unspecified,sex_averaged,93.0,8.0,9.0,True,True,0.049324,89.778,8.6882,
RM0017,ott856720,Allium fistulosum,tsukazaki2012,1670.0,12254.34,estimate_unspecified,sex_averaged,268.0,17.0,8.0,False,False,0.136278,208.75,6.2313,
RM0018,ott317810,Amaranthus hybridus,maughan2011,1288.0,616.14,c_value,sex_averaged,411.0,16.0,16.0,True,True,2.090434,80.5,3.1338,
RM0019,ott1092552,Ambystoma tigrinum,smith2005,5251.3,30875.46,estimate_unspecified,sex_averaged,790.0,14.0,14.0,True,True,0.17008,375.093,6.6472,
RM0022,ott627039,Ananas comosus,desousa2013,2113.0,537.9,c_value,sex_averaged,741.0,28.0,25.0,True,True,3.928239,84.52,2.8516,
RM0023,ott765167,Anas platyrhynchos,huang2009,1766.0,1375.72,c_value,sex_averaged,260.0,32.0,40.0,True,True,1.283691,44.15,6.7923,
RM0024,ott854198,Anguilla japonica,kai2014,1436.5,1151.14,estimate_unspecified,sex_averaged,2787.0,19.0,19.0,True,True,1.247893,75.605,0.5154,1.1345
RM0025,ott286257,Anopheles funestus,wondji2007,145.0,225.224,estimate_unspecified,sex_averaged,56.0,3.0,3.0,True,True,0.643804,48.333,2.5893,
RM0026,ott553555,Anopheles gambiae,zheng1996,166.1,264.06,c_value,sex_averaged,38.0,,3.0,,False,0.629024,55.367,4.3711,
RM0027,ott441856,Anoplopoma fimbria,rondeau2013,1332.8,757.95,c_value,sex_averaged,360.0,24.0,24.0,True,True,1.758427,55.533,3.7022,1.8712
RM0028,ott319626,Anthurium andreanum,venkat2014,1023.5,4694.4,c_value,sex_averaged,78.0,12.0,15.0,True,True,0.218026,68.233,13.1218,
RM0030,ott625771,Apis cerana,shi2013,574.5,185.82,c_value,sex_averaged,1535.0,19.0,16.0,True,True,3.091702,35.906,0.3743,
RM0031,ott461645,Apis mellifera,solignac2007,2145.0,229.83,c_value,sex_averaged,1163.0,,16.0,,False,9.332985,134.062,1.8444,
RM0032,ott461645,Apis mellifera,solignac2007,4115.0,229.83,c_value,sex_averaged,2008.0,16.0,16.0,True,True,17.904538,257.188,2.0493,
