Name	Assembly	Level	G.Size.Mb	GC	Scaffolds	CDS	day	month	year	group1	group2
Emiliania_huxleyi_CCMP1516	GCA_000372725.1	Scaffold	167.676	64.5	7795	38554	19	4	2013	Protists	Other_Protists
Arabidopsis_thaliana	GCA_000001735.2	Chromosome	119.669	36.0529	7	48265	13	8	2001	Plants	Land_Plants
Medicago_truncatula	GCA_000219495.2	Chromosome	412.924	34.047	2187	41939	12	8	2011	Plants	Land_Plants
Glycine_max	GCA_000004515.4	Chromosome	979.046	35.1153	1579	71219	5	1	2010	Plants	Land_Plants
Solanum_lycopersicum	GCA_000188115.3	Chromosome	828.349	35.6991	3150	37660	10	12	2010	Plants	Land_Plants
Hordeum_vulgare	GCA_004114815.1	Scaffold	4006.12	44.3	1856	0	28	1	2019	Plants	Land_Plants
Oryza_sativa_Japonica_Group	GCA_001433935.1	Chromosome	374.423	43.5769	58	42580	10	10	2015	Plants	Land_Plants
Triticum_aestivum	GCA_900519105.1	Chromosome	14547.3	46.0544	22	0	19	8	2018	Plants	Land_Plants
Saccharomyces_cerevisiae_S288C	GCA_000146045.2	Complete	12.1571	38.1556	17	6002	8	11	1999	Fungi	Ascomycetes
Zea_mays	GCA_000005005.6	Chromosome	2135.08	46.9109	598	58411	29	1	2010	Plants	Land_Plants
Pneumocystis_carinii_B80	GCA_001477545.1	Contig	7.66146	27.8	62	3646	22	12	2015	Fungi	Ascomycetes
Schizosaccharomyces_pombe	GCA_000002945.2	Chromosome	12.5913	36.0381	4	5132	28	2	2002	Fungi	Ascomycetes
Phanerochaete_chrysosporium	GCA_001910725.1	Contig	39.2051	56.5	174	0	20	12	2016	Fungi	Basidiomycetes
Candida_albicans_SC5314	GCA_000182965.3	Chromosome	14.2827	33.4827	8	6030	12	10	2016	Fungi	Ascomycetes
Aspergillus_nidulans_FGSC_A4	GCA_000149205.2	Scaffold	30.276	50.2721	91	9556	7	4	2003	Fungi	Ascomycetes
Aspergillus_fumigatus_Af293	GCA_000002655.1	Chromosome	29.385	49.8105	8	19260	1	6	2005	Fungi	Ascomycetes
Neurospora_crassa_OR74A	GCA_000182925.2	Chromosome	41.1024	48.2319	21	10812	12	3	2003	Fungi	Ascomycetes
Leishmania_major_strain_Friedlin	GCA_000002725.2	Complete	32.8551	59.7114	36	8316	29	6	1998	Protists	Kinetoplasts
Trypanosoma_cruzi	GCA_000209065.1	Scaffold	89.9375	51.7	29495	19607	14	7	2005	Protists	Kinetoplasts
Trypanosoma_brucei_gambiense_DAL972	GCA_000210295.1	Chromosome	22.1481	47.1525	11	9822	14	10	2009	Protists	Kinetoplasts
Giardia_lamblia_ATCC_50803	GCA_000002435.1	Scaffold	11.2136	49.2	92	6502	26	3	2003	Protists	Other_Protists
Entamoeba_histolytica_HM-1:IMSS	GCA_000208925.2	Scaffold	20.8354	24.3	1529	8163	9	12	2004	Protists	Other_Protists
Eimeria_tenella	GCA_000499545.1	Scaffold	51.8944	51.0796	4665	8609	30	10	2013	Protists	Apicomplexans
Cryptosporidium_parvum_Iowa_II	GCA_000165345.1	Chromosome	9.10232	30.2256	8	7610	5	4	2004	Protists	Apicomplexans
Toxoplasma_gondii_ME49	GCA_000006565.2	Chromosome	65.6681	52.2873	2277	8318	20	5	2008	Protists	Apicomplexans
Plasmodium_chabaudi_chabaudi	GCA_900002335.1	Chromosome	18.8678	23.6106	39	5158	27	8	2014	Protists	Apicomplexans
Plasmodium_berghei_ANKA	GCA_900002375.1	Chromosome	18.5607	22.3037	100	4906	27	8	2014	Protists	Apicomplexans
Plasmodium_falciparum_3D7	GCA_000002765.2	Complete	23.3269	19.3315	15	5392	17	12	1998	Protists	Apicomplexans
Plasmodium_knowlesi_strain_H	GCA_000006355.1	Chromosome	23.4622	39.1684	14	5101	4	7	2008	Protists	Apicomplexans
Plasmodium_vivax	GCA_000002415.2	Chromosome	27.0137	42.2825	2748	5392	20	9	2005	Protists	Apicomplexans
Babesia_bovis	GCA_000165395.1	Chromosome	8.17971	41.6127	14	3706	6	8	2007	Protists	Apicomplexans
Theileria_annulata	GCA_000003225.1	Chromosome	8.35812	32.5492	8	3795	15	5	2005	Protists	Apicomplexans
Theileria_parva	GCA_000165365.1	Chromosome	8.34761	34.0411	9	4061	30	6	2005	Protists	Apicomplexans
Encephalitozoon_cuniculi_GB-M1	GCA_000091225.1	Chromosome	2.49752	47.3005	11	1996	5	2	2001	Fungi	Other_Fungi
Caenorhabditis_briggsae	GCA_000004555.3	Chromosome	108.384	37.6966	638	21959	22	8	2002	Animals	Roundworms
Caenorhabditis_elegans	GCA_000002985.3	Complete	100.286	35.4317	7	28416	3	12	2001	Animals	Roundworms
Brugia_malayi	GCA_000002995.2	Scaffold	93.6591	31.499	24286	11472	25	9	2002	Animals	Roundworms
Aedes_aegypti	GCA_002204515.1	Chromosome	1278.73	38.1667	2310	28317	15	6	2017	Animals	Insects
Aedes_albopictus	GCA_001876365.2	Contig	2247.31	40.3999	2435	42912	10	11	2016	Animals	Insects
Anopheles_gambiae_str._PEST	GCA_000005575.1	Chromosome	265.027	44.5151	8145	14102	22	3	2002	Animals	Insects
Drosophila_melanogaster	GCA_000001215.4	Chromosome	143.726	42.0803	1870	30559	30	4	2002	Animals	Insects
Apis_mellifera	GCA_003254395.2	Chromosome	225.251	32.6352	177	23471	19	6	2018	Animals	Insects
